"PFT_2","PC1","PC2","PC3","PC4","PC5","PC6"
"Alnus sp.",-3.08309109227715,-1.74136038027508,-1.61950737258098,0.874231445842132,-0.381297894957955,0.411046106966614
"Alnus sp.",-8.12042218147054,-2.30759357781999,-0.915680970609714,0.64714592114264,-0.0420644268737154,0.35386848173513
"Alnus sp.",-5.6175073698057,-1.22344180773405,-1.43366607795438,0.363079174162153,-1.00190859698442,0.212242819906424
"Alnus sp.",-8.34405367517768,-1.97494062329806,-1.83712303175065,0.523193866785156,-0.23358007736038,0.275421089775931
"Alnus sp.",-7.29434142984351,-2.01999068555241,-1.49879552543239,0.48746094344442,-0.583087697051857,0.363773657136534
"Alnus sp.",-7.49155545591366,-1.56864846283255,-1.65862759897196,0.397049066306621,-0.405277768176899,0.383303568659339
"Alnus sp.",-6.62393606645949,-1.98739941818597,-1.43924450366213,0.271718917477962,-0.344330756915098,0.428729225513985
"Alnus sp.",-6.003443691002,-2.25997220783669,-2.03567019424273,0.26865807011262,-0.369425602106145,0.556345849999245
"Alnus sp.",-10.1975405787437,-3.81830960746746,-0.350573317729336,0.434027126926068,0.898127713926682,0.725717976294552
"Alnus sp.",-6.46835690850847,-1.9049362427391,-2.29276266477788,0.628776657460113,-0.454641243328178,0.271275240088549
"Alnus sp.",-12.8153237770946,-1.82239573452534,0.586197219072341,0.83921575889753,-0.437953842991554,-0.100719038636145
"Alnus sp.",-7.53342460939855,-2.75278895641801,-1.44388835623716,0.676262697946676,-0.0853140892873041,0.376555553377539
"Alnus sp.",-7.35660017525112,-2.09577443443635,-1.97304474434912,0.6003294747435,-0.394737477019893,0.321456671255231
"Alnus sp.",-5.6175073698057,-1.22344180773405,-1.43366607795438,0.363079174162153,-1.00190859698442,0.212242819906424
"Alnus sp.",-6.71004549649093,-2.38836052004441,-2.28510929658737,0.75606507922222,-0.15193189937953,0.282834770477279
"Alnus sp.",-10.2637615053137,-2.57859892275237,-1.83354182931504,1.29091974593078,-0.191785130416513,0.0448415430576778
"Alnus sp.",-7.89762356021462,-2.75210158265471,-1.83886455057917,0.681529105757908,0.0332793570248422,0.407024975640753
