"","ScanID","PFT","PFT_2","PFT_3","Freq","area","350","450","550","650","750","850","950","1050","1150","1250","1350","1450","1550","1650","1750","1850","1950","2050","2150","2250","2350","2450"
"18","8","arcrub","Arctostaphyllos","Dwarf Shrub",19,"Murphy",0.199781,0.065625,0.171385,0.092904,0.688483,0.768867,0.773611,0.821945,0.727402,0.720417,0.569775,0.209595,0.333518,0.413533,0.373591,0.332871,0.097306,0.172047,0.225051,0.235353,0.182416,0.126447
"19","arcnig_Beth004","arcnig","Arctostaphyllos","Dwarf Shrub",19,"Bethel",0.178688,0.059413,0.116327,0.059821,0.548349,0.559975,0.543923,0.550406,0.511845,0.503269,0.422751,0.13286,0.230629,0.285827,0.26126,0.231668,0.066029,0.107179,0.133457,0.146675,0.109099,0.076937
"20","13","arcrub","Arctostaphyllos","Dwarf Shrub",19,"Murphy",0.182984,0.053114,0.135869,0.057246,0.535335,0.579256,0.578172,0.595859,0.546853,0.54437,0.443701,0.141737,0.250951,0.319657,0.283721,0.245591,0.052095,0.107582,0.154196,0.161942,0.112858,0.062529
"21","arcsta_Beth001","arcsta","Arctostaphyllos","Dwarf Shrub",19,"Bethel",0.154749,0.055985,0.15448,0.057813,0.52903,0.534121,0.517503,0.517431,0.493742,0.488982,0.43584,0.183738,0.290808,0.345925,0.319211,0.288554,0.070807,0.14765,0.201536,0.213492,0.155309,0.093521
"22","7","arcrub","Arctostaphyllos","Dwarf Shrub",19,"Murphy",0.175319,0.056425,0.113638,0.070566,0.584281,0.627289,0.636388,0.666339,0.629175,0.633342,0.537828,0.200971,0.32781,0.399615,0.363765,0.323696,0.085502,0.155151,0.196504,0.208699,0.155659,0.099499
"23","16","arcrub","Arctostaphyllos","Dwarf Shrub",19,"Murphy",0.19981,0.055154,0.192715,0.070396,0.658177,0.691678,0.68343,0.707201,0.651664,0.648658,0.534733,0.183566,0.31837,0.402059,0.362885,0.315442,0.066259,0.147285,0.210342,0.218924,0.157547,0.0905
"24","arcsta_Beth004","arcsta","Arctostaphyllos","Dwarf Shrub",19,"Bethel",0.144897,0.043619,0.10912,0.042816,0.510459,0.524824,0.511315,0.512565,0.48392,0.477467,0.413126,0.141033,0.247375,0.308293,0.28136,0.249629,0.050325,0.107501,0.156203,0.168897,0.112241,0.061152
"25","12","arcrub","Arctostaphyllos","Dwarf Shrub",19,"Murphy",0.189346,0.047611,0.113519,0.074222,0.462474,0.513436,0.521808,0.540127,0.490703,0.491536,0.396305,0.137685,0.221457,0.275198,0.242826,0.217369,0.060091,0.105175,0.130086,0.134088,0.096749,0.060423
"26","9","arcrub","Arctostaphyllos","Dwarf Shrub",19,"Murphy",0.207266,0.061902,0.139232,0.061144,0.728143,0.789635,0.782405,0.816963,0.746592,0.748696,0.599756,0.178635,0.330964,0.425176,0.378288,0.324137,0.071684,0.143298,0.203133,0.214592,0.14966,0.088572
"27","arcsta_Beth001","arcsta","Arctostaphyllos","Dwarf Shrub",19,"Bethel",0.154749,0.055985,0.15448,0.057813,0.52903,0.534121,0.517503,0.517431,0.493742,0.488982,0.43584,0.183738,0.290808,0.345925,0.319211,0.288554,0.070807,0.14765,0.201536,0.213492,0.155309,0.093521
"28","arcnig_Beth004","arcnig","Arctostaphyllos","Dwarf Shrub",19,"Bethel",0.178688,0.059413,0.116327,0.059821,0.548349,0.559975,0.543923,0.550406,0.511845,0.503269,0.422751,0.13286,0.230629,0.285827,0.26126,0.231668,0.066029,0.107179,0.133457,0.146675,0.109099,0.076937
"29","16","arcrub","Arctostaphyllos","Dwarf Shrub",19,"Murphy",0.19981,0.055154,0.192715,0.070396,0.658177,0.691678,0.68343,0.707201,0.651664,0.648658,0.534733,0.183566,0.31837,0.402059,0.362885,0.315442,0.066259,0.147285,0.210342,0.218924,0.157547,0.0905
"30","arcnig_Beth003","arcnig","Arctostaphyllos","Dwarf Shrub",19,"Bethel",0.179708,0.060171,0.127856,0.063116,0.559921,0.567261,0.549587,0.549446,0.513003,0.504609,0.429985,0.144167,0.244777,0.29985,0.276202,0.246736,0.065809,0.116831,0.147624,0.163231,0.119611,0.079274
"31","11","asachr","Asahinea chrysantha","Lichen",19,"12mile",0.331234,0.202403,0.279764,0.301095,0.383198,0.413068,0.433864,0.446093,0.455436,0.471599,0.470823,0.343431,0.379008,0.411426,0.385624,0.409318,0.240219,0.274186,0.26892,0.238486,0.229095,0.174601
"32","3","asachr","Asahinea chrysantha","Lichen",19,"12mile",0.375726,0.246469,0.302446,0.274629,0.511096,0.548009,0.577576,0.596967,0.618369,0.644795,0.651034,0.495536,0.53717,0.588432,0.560756,0.585609,0.345285,0.388266,0.390973,0.380279,0.360738,0.281914
"33","3","asachr","Asahinea chrysantha","Lichen",19,"12mile",0.375726,0.246469,0.302446,0.274629,0.511096,0.548009,0.577576,0.596967,0.618369,0.644795,0.651034,0.495536,0.53717,0.588432,0.560756,0.585609,0.345285,0.388266,0.390973,0.380279,0.360738,0.281914
"34","9","asachr","Asahinea chrysantha","Lichen",19,"12mile",0.592997,0.474883,0.566682,0.529035,0.753757,0.755726,0.755767,0.744095,0.738309,0.737125,0.723742,0.57527,0.612328,0.650245,0.626451,0.641776,0.400124,0.474528,0.483618,0.460197,0.444682,0.34813
"35","asachr_Brooks004","asachr","Asahinea chrysantha","Lichen",19,"Brooks_Range",0.165353,0.226521,0.334475,0.362954,0.431933,0.448156,0.453512,0.459281,0.465018,0.470725,0.465922,0.377102,0.400923,0.422663,0.397463,0.418153,0.29138,0.329617,0.32405,0.291866,0.260468,0.221873
"36","13","asachr","Asahinea chrysantha","Lichen",19,"12mile",0.274662,0.145596,0.191637,0.200952,0.250943,0.263871,0.274931,0.27674,0.28092,0.290949,0.293152,0.219184,0.242185,0.265627,0.25134,0.269365,0.156348,0.177598,0.171918,0.151853,0.144504,0.107384
