"PFT_2","PC1","PC2","PC3","PC4","PC5","PC6"
"Alectoria ochroleuca",-11.307179245127,-14.3677825621549,-8.9404249920481,-7.02878514198843,-1.14634130275461,0.928371613364825
"Alectoria ochroleuca",-19.0481466173848,-12.9553646811583,-9.45163281861236,-7.42002572124531,-0.668780918032988,0.109852795592853
"Alectoria ochroleuca",-35.3656674201988,-18.7448281767235,-8.53438277782558,-4.07742069293233,-0.117741879278295,1.43015953029201
"Alectoria ochroleuca",-19.0481466173848,-12.9553646811583,-9.45163281861236,-7.42002572124531,-0.668780918032988,0.109852795592853
"Alectoria ochroleuca",-30.9470722366889,-24.4054521277981,-2.37464060340737,-3.1319080182588,-1.01263615027447,-0.301670272714005
"Alnus sp.",-22.5424362729607,3.93785611988635,7.95454576678525,2.28925638604735,2.59299952921788,2.39477245315928
"Alnus sp.",-11.7288753995381,13.2566961050572,8.77006320476512,2.19617826068148,-0.261712709610302,0.339528343527895
"Alnus sp.",-21.6325293688644,7.59571879308323,5.89608077354722,2.82807005846146,0.365447584055058,0.671060253561599
"Alnus sp.",-19.6417322811466,11.8564362406427,5.69085508323067,2.83140529351756,0.0886451263144122,1.43731099669119
"Alnus sp.",-11.7377736374271,15.1300505437907,7.53649546518773,2.01174848438023,0.130485508220551,1.94293558320603
"Arctostaphyllos",-16.6355863040683,23.7746103595806,4.19477772507317,1.40051363768693,-2.29017599417372,-0.443658778298341
"Arctostaphyllos",-25.0381516678437,2.23409715274998,4.49533641957409,-1.19131360300895,0.275736010919878,-1.43408768339911
"Arctostaphyllos",-2.31562835136169,24.2370689665076,9.64771269702767,0.761973746194825,0.617765290756705,0.280794769279611
"Arctostaphyllos",1.04162448889576,24.4712885798835,10.3002997374782,0.979864257265372,-2.4522624481824,-1.9524530722282
"Arctostaphyllos",14.3211006358964,35.3852573359864,9.88248119556337,2.61932750098786,-5.71833469621512,0.79933781968069
"Asahinea chrysantha",-28.8986771382058,-14.9091208317546,-10.4207792169739,-5.39542092177815,-0.331187025929617,1.45674456643294
"Asahinea chrysantha",85.6817335491678,5.56538432948601,-22.8995317664205,-10.7604135937174,-7.54537544899591,-0.910623656974432
"Asahinea chrysantha",98.3147790514005,-0.736428321714961,-9.96520039058713,-2.8163900984883,-8.50070172714868,1.50756263632845
"Asahinea chrysantha",98.3147790514005,-0.736428321714961,-9.96520039058713,-2.8163900984883,-8.50070172714868,1.50756263632845
"Asahinea chrysantha",96.0892306603372,-2.74726966001628,-14.8597392069169,-3.832919348052,-7.50888207293676,0.68455412878106
"Aulacomnium palustre",36.9439870663379,5.50147911975004,24.106326778818,-6.75133721324447,-9.99515186454622,-7.44153955086513
"Aulacomnium palustre",45.2507327849451,-7.96235509820732,25.2319400741361,-5.2687305978352,-9.57270457751296,-4.11664311112441
"Aulacomnium palustre",30.9960985479976,-10.8294038568346,16.6940963394128,-7.89025473657048,-3.96559093530489,-3.63025140683539
"Aulacomnium palustre",21.7929452717452,-23.9838859125925,20.0207502544594,-3.69107558423267,-3.35963197065762,-1.67013419999869
"Aulacomnium palustre",-1.25680272306373,-4.44323566158394,15.7667906141467,-7.40489874397772,-4.20451057048481,-8.52261405109828
"Aulacomnium turgidum",-4.25663239271524,-3.5112057952916,10.2957495850155,-7.50827931838934,-4.24843860274221,-4.61561158740798
"Aulacomnium turgidum",-4.25663239271524,-3.5112057952916,10.2957495850155,-7.50827931838934,-4.24843860274221,-4.61561158740798
"Aulacomnium turgidum",-48.1739151548473,0.834043653778754,0.126736382620088,-1.51493647082818,-0.60731642646284,-2.36558924711007
"Aulacomnium turgidum",-4.25663239271524,-3.5112057952916,10.2957495850155,-7.50827931838934,-4.24843860274221,-4.61561158740798
"Aulacomnium turgidum",-17.118871748774,-9.66254208655261,8.51976466486011,-6.0385996283438,-3.5951181913509,-4.96093174098165
"Betula nana",-22.0595459297694,11.5407709474024,3.8998094462924,4.58515878541434,-2.29217816809384,-1.40574873616786
"Betula nana",-12.3135341679892,23.9259601099655,9.15553661783564,5.99530467442026,-4.5515317714167,-1.9412809861981
"Betula nana",-33.9685166906196,-2.40669938022797,-1.55247892199555,3.453759572909,1.7873139178717,2.06058083717111
"Betula nana",-23.2801954895357,12.4631389071742,6.39189171925494,1.59201974966042,2.01197466456764,1.80432230062684
"Betula nana",-33.885217057439,7.46331337555524,2.89463844370397,4.12307793064079,-1.39218901659688,-0.863382210354555
"Bryoria sp.",22.774777848285,-56.125562216667,27.532658879301,6.15359053212441,9.7670373090444,2.99143066978547
"Bryoria sp.",19.6610033054724,-39.4797675419137,23.531014552418,2.43453572809229,9.53774412255644,-2.33073759356578
"Bryoria sp.",19.4656416791236,-45.7225170534704,24.9713282541005,3.52029048141053,10.4531076898161,-1.39765794389297
"Bryoria sp.",19.6610033054724,-39.4797675419137,23.531014552418,2.43453572809229,9.53774412255644,-2.33073759356578
"Bryoria sp.",19.6610033054724,-39.4797675419137,23.531014552418,2.43453572809229,9.53774412255644,-2.33073759356578
"Carex sp.",49.4819430521413,-2.44006005917266,-3.98596548896551,14.1998073587582,1.31620675849381,3.31042328541838
"Carex sp.",-26.871818161408,2.12203189002557,-4.25152836852148,5.01086024493305,0.320418683049093,3.21175547917454
"Carex sp.",-0.154783582409969,8.90863521128704,-3.31440737012653,3.5968252897632,2.47147429484406,3.72376478244807
"Carex sp.",-17.086114381915,-10.3881106758762,-1.46232317476365,5.37090161666571,3.16865811946999,3.33551727278442
"Carex sp.",13.8974698143091,2.99026659217289,2.22969168589671,7.03173432712198,2.22452218554213,3.29442601149131
