"ScanID","PFT","PFT_2","PFT_3","Freq","area","350","450","550","650","750","850","950","1050","1150","1250","1350","1450","1550","1650","1750","1850","1950","2050","2150","2250","2350","2450"
"asachr_Brooks002","asachr","Asahinea chrysantha","Lichen",19,"Brooks_Range",0.150671,0.21946,0.289661,0.317274,0.39479,0.407309,0.411321,0.417654,0.422874,0.428879,0.425035,0.343897,0.36565,0.387365,0.366133,0.385506,0.255389,0.296547,0.294943,0.273223,0.241133,0.205997
"1","asachr","Asahinea chrysantha","Lichen",19,"12mile",0.560559,0.434575,0.516133,0.472955,0.765255,0.778673,0.789996,0.782632,0.782023,0.784471,0.768057,0.602779,0.638502,0.680182,0.652389,0.666893,0.409497,0.460351,0.461525,0.439601,0.429133,0.34279
"23","aulpal","Aulacomnium palustre","Moss",6,"Murphy",0.111865,0.039252,0.080623,0.11423,0.243338,0.330132,0.401564,0.452089,0.479138,0.498854,0.494452,0.322847,0.373893,0.404474,0.370939,0.383577,0.2088,0.248679,0.236612,0.237,0.199647,0.158557
"28","aulpal","Aulacomnium palustre","Moss",6,"Murphy",0.115722,0.028231,0.074779,0.105002,0.253438,0.361548,0.451336,0.513713,0.541152,0.5619,0.549466,0.31982,0.382366,0.417091,0.372042,0.389718,0.179878,0.229557,0.213926,0.2151,0.1708,0.129547
"24","aulpal","Aulacomnium palustre","Moss",6,"Murphy",0.119486,0.043887,0.107514,0.119567,0.28431,0.359914,0.416764,0.458762,0.495711,0.53344,0.555173,0.424671,0.484646,0.520931,0.48503,0.506593,0.303466,0.356667,0.342018,0.338876,0.283619,0.235635
"24","aulpal","Aulacomnium palustre","Moss",6,"Murphy",0.119486,0.043887,0.107514,0.119567,0.28431,0.359914,0.416764,0.458762,0.495711,0.53344,0.555173,0.424671,0.484646,0.520931,0.48503,0.506593,0.303466,0.356667,0.342018,0.338876,0.283619,0.235635
"24","aulpal","Aulacomnium palustre","Moss",6,"Murphy",0.119486,0.043887,0.107514,0.119567,0.28431,0.359914,0.416764,0.458762,0.495711,0.53344,0.555173,0.424671,0.484646,0.520931,0.48503,0.506593,0.303466,0.356667,0.342018,0.338876,0.283619,0.235635
"aultur_Brooks003","aultur","Aulacomnium turgidum","Moss",6,"Brooks_Range",0.090282,0.022605,0.049852,0.050119,0.22211,0.292624,0.334062,0.359192,0.345398,0.34136,0.290551,0.108031,0.160178,0.19775,0.175829,0.165589,0.045156,0.081737,0.102474,0.10597,0.075906,0.046222
"29","aultur","Aulacomnium turgidum","Moss",6,"Murphy",0.105078,0.028748,0.073568,0.111857,0.233889,0.308474,0.362134,0.405291,0.427614,0.444068,0.436843,0.265703,0.316015,0.342387,0.307262,0.320454,0.171239,0.199388,0.184443,0.18404,0.148819,0.116748
"29","aultur","Aulacomnium turgidum","Moss",6,"Murphy",0.105078,0.028748,0.073568,0.111857,0.233889,0.308474,0.362134,0.405291,0.427614,0.444068,0.436843,0.265703,0.316015,0.342387,0.307262,0.320454,0.171239,0.199388,0.184443,0.18404,0.148819,0.116748
"30","aultur","Aulacomnium turgidum","Moss",6,"Murphy",0.120524,0.032726,0.112699,0.128661,0.320025,0.398091,0.443839,0.483658,0.501857,0.515221,0.504487,0.303201,0.358133,0.389542,0.350493,0.365957,0.179017,0.218785,0.202912,0.205458,0.165337,0.125163
"aultur_Brooks001","aultur","Aulacomnium turgidum","Moss",6,"Brooks_Range",0.098825,0.040015,0.098241,0.136002,0.249078,0.31549,0.344999,0.367954,0.35168,0.347507,0.297671,0.135362,0.185313,0.222386,0.204093,0.189435,0.07174,0.112456,0.13563,0.136134,0.107777,0.075943
"40","betnan","Betula nana","Shrub",56,"Murphy A",0.353078,0.055985,0.12103,0.056573,0.54957,0.608479,0.617139,0.62613,0.591983,0.590065,0.511595,0.201993,0.328952,0.397887,0.353747,0.316258,0.074242,0.160646,0.212516,0.219288,0.155068,0.091596
"5","betnan","Betula nana","Shrub",56,"Murphy A",0.171461,0.019018,0.047666,0.024099,0.262507,0.305637,0.314035,0.323602,0.301922,0.302189,0.253333,0.090032,0.150161,0.187554,0.165012,0.148061,0.032741,0.072635,0.096729,0.097558,0.068753,0.040223
"5","betnan","Betula nana","Shrub",56,"Murphy A",0.171461,0.019018,0.047666,0.024099,0.262507,0.305637,0.314035,0.323602,0.301922,0.302189,0.253333,0.090032,0.150161,0.187554,0.165012,0.148061,0.032741,0.072635,0.096729,0.097558,0.068753,0.040223
"36","betnan","Betula nana","Shrub",56,"Murphy A",0.356614,0.037969,0.117005,0.043074,0.587567,0.644289,0.644989,0.652986,0.604778,0.602456,0.502686,0.172961,0.301739,0.372276,0.327733,0.285828,0.05577,0.138146,0.18398,0.191249,0.131587,0.070841
"betnan_Brooks008","betnan","Betula nana","Shrub",56,"Brooks_Range",0.12882,0.027174,0.128097,0.030355,0.489792,0.491465,0.476394,0.474479,0.449059,0.442209,0.386541,0.133679,0.234272,0.292323,0.260708,0.234555,0.036338,0.101084,0.149336,0.161912,0.100472,0.047662
"6","bryoria","Bryoria sp.","Lichen",10,"Murphy",0.1042,0.066254,0.093986,0.107524,0.198279,0.258368,0.318178,0.386818,0.455391,0.526064,0.574901,0.40404,0.501475,0.58703,0.567879,0.581305,0.235379,0.360176,0.412108,0.426582,0.347929,0.25776
"bryori_AK2018_01","bryoria","Bryoria sp.","Lichen",10,"AK2018",0.0286,0.024848,0.029691,0.035004,0.056729,0.080064,0.108384,0.14261,0.181064,0.225554,0.271584,0.270798,0.317938,0.362135,0.370667,0.396651,0.260166,0.315334,0.321774,0.332129,0.284033,0.225455
"bryori_AK2018_03","bryoria","Bryoria sp.","Lichen",10,"AK2018",0.028679,0.026071,0.032578,0.038017,0.063312,0.088353,0.118982,0.156646,0.198769,0.246785,0.294378,0.284286,0.333279,0.378598,0.383463,0.409096,0.246233,0.299213,0.305898,0.314178,0.264442,0.211163
"bryori_AK2018_03","bryoria","Bryoria sp.","Lichen",10,"AK2018",0.028679,0.026071,0.032578,0.038017,0.063312,0.088353,0.118982,0.156646,0.198769,0.246785,0.294378,0.284286,0.333279,0.378598,0.383463,0.409096,0.246233,0.299213,0.305898,0.314178,0.264442,0.211163
"6","bryoria","Bryoria sp.","Lichen",10,"Murphy",0.1042,0.066254,0.093986,0.107524,0.198279,0.258368,0.318178,0.386818,0.455391,0.526064,0.574901,0.40404,0.501475,0.58703,0.567879,0.581305,0.235379,0.360176,0.412108,0.426582,0.347929,0.25776
"carram_00004","carram","Carex sp.","Graminoid",16,"Yukon_Delta",0.155578,0.047655,0.18863,0.121103,0.506727,0.543139,0.54252,0.551022,0.519856,0.51601,0.443376,0.189134,0.298415,0.367616,0.333359,0.294084,0.081679,0.160746,0.220816,0.218232,0.161367,0.101847
"carlin_00005","carlin","Carex sp.","Graminoid",16,"Yukon_Delta",0.178623,0.088272,0.214902,0.104449,0.511327,0.508546,0.493331,0.49465,0.468908,0.462972,0.406625,0.178574,0.278346,0.342287,0.316974,0.278937,0.111523,0.169537,0.234917,0.237365,0.185738,0.138444
"carlin_00008","carlin","Carex sp.","Graminoid",16,"Yukon_Delta",0.168198,0.078046,0.156266,0.078806,0.42463,0.425305,0.408568,0.403045,0.378786,0.37247,0.323099,0.138364,0.21512,0.266196,0.244224,0.215005,0.090489,0.134698,0.185267,0.184158,0.143741,0.104413
"carlyn_00004","carlyn","Carex sp.","Graminoid",16,"Yukon_Delta",0.139264,0.091204,0.16277,0.103188,0.347184,0.35862,0.357987,0.366737,0.358329,0.360204,0.333312,0.20257,0.27675,0.312529,0.296905,0.274502,0.122905,0.187949,0.235798,0.233562,0.197737,0.153387
