"ScanID","PFT","PFT_2","PFT_3","Freq","area","350","400","450","500","550","600","650","700","750","800","850","900","950","1000","1050","1100","1150","1200","1250","1300","1350","1400","1450","1500","1550","1600","1650","1700","1750","1800","1850","1900","1950","2000","2050","2100","2150","2200","2250","2300","2350","2400","2450","2500"
"alnfru_00006","alnfru","Alnus sp.","Shrub",44,"Yukon_Delta",0.118618,0.037249,0.02005,0.019084,0.08734,0.038458,0.019614,0.094307,0.460512,0.463545,0.462832,0.461427,0.45668,0.453222,0.4599,0.459541,0.438611,0.427677,0.432419,0.426225,0.382633,0.217844,0.126829,0.174976,0.244969,0.290445,0.312902,0.309505,0.288035,0.271836,0.252883,0.034865,0.02114,0.046702,0.089925,0.1395,0.17888,0.198398,0.190117,0.150009,0.112456,0.075189,0.041736,0.023626
"alnfru_000013","alnfru","Alnus sp.","Shrub",44,"Yukon_Delta",0.145326,0.068777,0.048258,0.044915,0.10087,0.060973,0.045468,0.09997,0.471149,0.480534,0.479705,0.475877,0.471006,0.462885,0.468308,0.467796,0.449215,0.436853,0.441974,0.436723,0.399221,0.260903,0.17239,0.210343,0.264038,0.299547,0.317115,0.31049,0.292372,0.282124,0.270744,0.084537,0.068635,0.09997,0.136722,0.170053,0.192841,0.2092,0.203575,0.168873,0.143781,0.117431,0.085699,0.068008
"alnfru_000026","alnfru","Alnus sp.","Shrub",44,"Yukon_Delta",0.149278,0.063851,0.043553,0.041246,0.097775,0.056205,0.041157,0.094019,0.49065,0.498293,0.494869,0.488778,0.481708,0.47436,0.478905,0.478447,0.461011,0.449908,0.4553,0.450411,0.413525,0.273728,0.185427,0.227556,0.283596,0.319441,0.337885,0.330999,0.311732,0.301927,0.289701,0.084671,0.064921,0.101262,0.141108,0.173937,0.197147,0.213213,0.208042,0.172494,0.14617,0.118461,0.085999,0.066406
"alnfru_000041","alnfru","Alnus sp.","Shrub",44,"Yukon_Delta",0.153016,0.064199,0.044461,0.042124,0.098385,0.072488,0.052337,0.126769,0.499777,0.525405,0.532492,0.534371,0.530535,0.527363,0.537883,0.538932,0.511306,0.495145,0.506122,0.500046,0.446415,0.281997,0.196631,0.242703,0.299341,0.337024,0.357172,0.349867,0.32438,0.312455,0.299912,0.087962,0.072187,0.113122,0.150779,0.177956,0.196358,0.214366,0.214661,0.171973,0.145998,0.126915,0.091038,0.069505
"alnfru_000041","alnfru","Alnus sp.","Shrub",44,"Yukon_Delta",0.153016,0.064199,0.044461,0.042124,0.098385,0.072488,0.052337,0.126769,0.499777,0.525405,0.532492,0.534371,0.530535,0.527363,0.537883,0.538932,0.511306,0.495145,0.506122,0.500046,0.446415,0.281997,0.196631,0.242703,0.299341,0.337024,0.357172,0.349867,0.32438,0.312455,0.299912,0.087962,0.072187,0.113122,0.150779,0.177956,0.196358,0.214366,0.214661,0.171973,0.145998,0.126915,0.091038,0.069505
"alnfru_000014","alnfru","Alnus sp.","Shrub",44,"Yukon_Delta",0.139648,0.066782,0.047326,0.045702,0.135793,0.079384,0.048012,0.135785,0.463928,0.470975,0.471763,0.467705,0.461881,0.454026,0.4596,0.458729,0.440366,0.429602,0.433713,0.428069,0.390058,0.249579,0.167112,0.207021,0.26365,0.30013,0.317247,0.313958,0.295019,0.282617,0.267714,0.082231,0.068943,0.100313,0.139836,0.176538,0.202023,0.215707,0.209558,0.178351,0.15035,0.119679,0.08565,0.065727
"alnfru_000027","alnfru","Alnus sp.","Shrub",44,"Yukon_Delta",0.140756,0.062641,0.044938,0.042387,0.09648,0.057702,0.042473,0.099147,0.450576,0.456951,0.454944,0.45049,0.445896,0.440322,0.445608,0.446418,0.432969,0.424837,0.431242,0.428666,0.397482,0.270549,0.187061,0.226735,0.280355,0.314304,0.331113,0.32484,0.307676,0.298098,0.286883,0.08901,0.068946,0.104907,0.143256,0.17498,0.195446,0.209585,0.20382,0.170253,0.146822,0.120475,0.087592,0.068022
"alnfru_00004","alnfru","Alnus sp.","Shrub",44,"Yukon_Delta",0.140628,0.064425,0.045765,0.048507,0.165784,0.10168,0.055888,0.166322,0.421922,0.424418,0.421764,0.416061,0.40673,0.394908,0.399818,0.39709,0.377712,0.366217,0.369477,0.363387,0.324482,0.192443,0.128297,0.16199,0.210106,0.241783,0.253705,0.251467,0.235748,0.223126,0.206572,0.05319,0.04465,0.063015,0.087254,0.110082,0.123623,0.130771,0.127633,0.110608,0.093559,0.07412,0.055778,0.044282
"alnfru_000035","alnfru","Alnus sp.","Shrub",44,"Yukon_Delta",0.147507,0.06121,0.04213,0.038752,0.096434,0.056555,0.040528,0.100521,0.487017,0.495226,0.494728,0.492901,0.48762,0.482343,0.48729,0.486367,0.467548,0.454997,0.461516,0.456765,0.417144,0.270924,0.184312,0.228644,0.282922,0.317099,0.335324,0.327681,0.305728,0.295347,0.283768,0.077463,0.060052,0.09899,0.135669,0.16363,0.182196,0.199047,0.200174,0.158621,0.13358,0.113101,0.078554,0.057856
"alnfru_000023","alnfru","Alnus sp.","Shrub",44,"Yukon_Delta",0.153757,0.080515,0.059948,0.059313,0.159518,0.098155,0.061033,0.158817,0.459662,0.46311,0.460221,0.454281,0.4463,0.438561,0.444038,0.442625,0.421665,0.410947,0.414705,0.40791,0.367945,0.231775,0.160489,0.196342,0.249428,0.284881,0.300113,0.296734,0.278994,0.265696,0.249563,0.090204,0.081065,0.104529,0.137519,0.171886,0.193246,0.202776,0.196234,0.171893,0.147088,0.121572,0.094962,0.079014
