"PFT_2","PC1","PC2","PC3","PC4","PC5","PC6"
"Cladonia rangiferina",39.5028499398126,34.7369742091952,7.5381295152986,3.98019876018231,0.399373653215968,-1.50620368586085
"Cladonia rangiferina",45.4459710568565,32.3039119376355,8.18806163446514,2.80008102164117,0.885071216179875,-1.2465285713075
"Cladonia rangiferina",48.0377990242135,33.6696267450675,8.55876784950684,4.5017244412888,0.510981811072233,-2.21160393869109
"Cladonia rangiferina",-14.8096540374664,36.7104027357066,8.85504335033977,1.97993751061556,0.222250195013475,-3.41869197113565
"Evernia mesomorpha",53.1522746213487,39.295251284947,-9.24522417161944,-2.83234919209592,-0.646051453022277,-1.42137785664728
"Evernia mesomorpha",-35.679623887665,53.3270393645046,-17.8705296941713,-11.16551892205,-1.94273630067344,-5.74813484981437
"Evernia mesomorpha",-67.2446799708343,57.4995543881033,-22.5724958713452,-13.0750307224169,-2.85768792013888,-9.3145615154094
"Evernia mesomorpha",-38.656284007231,52.8531466506064,-9.72956082909883,-14.1466950088705,-1.68764365393057,-3.19855323714222
"Evernia mesomorpha",22.5225504569233,44.6304225348681,-19.550293393513,-6.08618783332029,-2.7913056365021,0.874358191354549
"Picea mariana",75.9079394289661,7.80421467401299,11.0981503406933,0.938569467885576,2.21191061400253,-3.89365824442306
"Picea mariana",71.3084250107011,7.34759549664164,3.60379774468168,-0.787079617162633,3.24147894767208,-1.21819753410678
"Picea mariana",64.5865150284664,-8.18245480591721,17.1268012851908,1.33483487951783,6.34484353816839,-9.84001097034408
"Picea mariana",65.1022965332684,2.11784402836975,5.52760396182386,-1.08064131564557,4.51605655166502,-2.71705156398236
"Picea mariana",80.1027128874403,6.26047075840942,10.8759634501539,1.12196780232341,3.83724694483058,-4.90489041746503
"Picea mariana",57.348004696201,-5.28596736736711,16.1745017962614,-0.336900367752214,5.63283045896075,-6.72867410418872
"Picea mariana",60.6856913288522,-3.96614148475224,19.2242259296922,1.35720126975777,5.36429922070925,-7.53817676484214
"Picea mariana",56.7860317097568,-3.25861047698637,15.180100917634,0.71521482054482,6.22776427189053,-7.87348460207018
"Rosa acicularis",17.4747913934312,-1.03836542990189,-5.98959980724427,-2.69735894068962,-5.28332549697449,-0.341549009855715
"Rosa acicularis",18.9792350329665,-0.207340712274151,-5.07081372106262,-2.68395601718911,-5.08497188006953,-0.468743391480562
"Rosa acicularis",21.6162165336325,0.767718444345219,-7.0005516110219,-1.95325000393876,-5.37976876022093,-0.375452766136036
"Rosa acicularis",20.3494843363675,0.161603321053558,-5.7080706570375,-2.55183371043604,-5.42145302088473,-0.247255079849463
"Rosa acicularis",12.9917133727646,-0.623928805045639,-6.46319906991044,-3.06048450384076,-5.97556950284466,-0.351243954029598
"Rosa acicularis",18.7190126728848,1.97371958424406,-7.28789810957866,-3.0872350978207,-5.94903208825259,-0.743049201100959
"Rosa acicularis",17.827631797946,1.68593940972309,-6.46015254297668,-3.16344917755828,-6.11561889951077,-0.200004680067714
"Rosa acicularis",21.6319695335076,2.33076682048784,-6.37480963935045,-2.24725787912128,-5.45350157160279,-0.0748075904464095
"Vaccinium vitis-idea",-42.1845988664215,66.9635888638899,-51.8155223029585,1.88760646157378,-7.05074956232003,-5.00402031082783
"Vaccinium vitis-idea",12.0277167069248,56.4661575571406,-36.8760860346647,3.70229683725383,-6.46267138976925,-1.4789045352718
"Vaccinium vitis-idea",-0.384925285841665,64.9103971841103,-47.3849250294923,2.8533246696402,-9.19941777359491,-2.07273716391665
"Vaccinium vitis-idea",-2.55488683988967,59.1379155308989,-39.3656194753319,1.65691740461877,-6.50642140151774,0.840428359589826
"Vaccinium vitis-idea",-32.0942071635377,56.5845925697185,-37.5609016585541,2.21916727385895,-3.14756391306472,-0.970279097949833
"Vaccinium vitis-idea",-18.4145264248097,58.1513084719055,-27.3870084337542,3.40157909805114,-1.56408324244917,2.17784451680125
"Vaccinium vitis-idea",-14.9246277973433,67.7920682754747,-45.1687981121951,4.57632764175965,-9.15484121694622,-1.12975232596951
"Vaccinium vitis-idea",-29.9010848238908,53.2736703871111,-38.6373002432798,0.218994757586218,-1.74185162643,-2.0346312537177
"Vaccinium vitis-idea",28.1567900015981,-21.3655865919743,10.1069657465844,-4.85036938292686,2.01363329388009,-7.42633540321848
"Vaccinium vitis-idea",22.3067985740078,-16.4826120111715,4.2093038792343,-5.43428058576335,-1.01910899736219,-3.69751160215042
"Vaccinium vitis-idea",24.0537574691103,3.43013205831291,10.6202301653111,-3.79943121177615,-3.14953494657099,-2.13423273584567
"Vaccinium vitis-idea",26.5876822395224,-10.604145219805,4.09779678034285,-5.31170464109946,-1.73188293244854,-3.12165021993503
"Arctostaphyllos",28.2355521888159,-9.08339713280419,7.67127286397689,-1.39786264422337,2.71750315532525,-6.67338923322835
"Arctostaphyllos",25.9521076648169,-8.37477616069048,6.0930710239622,-1.37204411601977,1.3485892892694,-6.05491876028228
"Arctostaphyllos",25.7974808398938,-9.16184484721665,6.21168354523547,-2.36826163916077,1.22924440298375,-5.28296360498284
"Arctostaphyllos",29.6758573916987,-10.0733002869869,6.71717701250595,-1.80040399140828,2.99398275686909,-6.05170466135927
"Arctostaphyllos",17.6955031069446,-3.03721275810509,-1.00868723186357,-3.76535583400916,-4.71395273450252,-1.91725422813483
"Arctostaphyllos",30.3148050421696,-4.15384341839626,0.891080019438718,-3.44737716810806,-1.96577150011913,-2.12688664576711
"Arctostaphyllos",29.3001962056938,-6.87178789408274,2.17058181390426,-4.40187003590737,-1.88381207763973,-2.38123451986558
"Arctostaphyllos",31.0124111135474,-8.82561144613924,1.04183557062584,-4.18004195468629,-1.36976609523296,-2.46027670289991
"Betula nana",21.1526421025114,0.526393976517543,-0.489551968565899,-4.73050563139767,-4.6370762855252,-1.39619933586385
"Betula nana",18.5171812060776,-2.06226160342684,-0.802963651384894,-4.82231999337979,-4.34565600446077,-1.40367185924903
"Betula nana",17.9940494871399,-2.4817660667876,-0.899585958722735,-5.25840930181034,-4.53689476186153,-1.2615386787523
"Betula nana",11.7902997881789,-6.73278493526107,-1.05243959571657,-5.6166552599805,-4.15783364216903,-2.03187958029726
"Cladonia steallaris",5.22722062822399,35.2009715374637,9.68865740468642,-11.3516260095307,3.94164881326211,-2.06791514918273
"Cladonia steallaris",-3.96059963503815,40.8318030649895,7.92843256776781,-12.0986496184976,2.13558745487797,-2.65013720666202
"Cladonia steallaris",47.1559305923636,32.2606001555854,8.40314658304823,-5.8490970109865,2.66071097146894,-0.443690973613694
"Cladonia steallaris",41.6059917041114,29.0085905291487,11.8203369954827,-6.88356068997659,2.62649875048863,-0.630694381481075
