"ScanID","PFT","area","350","450","550","650","750","850","950","1050","1150","1250","1350","1450","1550","1650","1750","1850","1950","2050","2150","2250","2350","2450","PFT_2","PFT_3"
"hypaus_AK2018_02","hypaus","AK2018",0.067635,0.037414,0.056704,0.092973,0.271286,0.390212,0.47305,0.533344,0.578168,0.617709,0.646178,0.549328,0.604651,0.64432,0.623691,0.65043,0.392232,0.460516,0.465014,0.460911,0.391108,0.318909,"Hypogymnia austerodes","Lichen"
"hypaus_AK2018_03","hypaus","AK2018",0.049588,0.039396,0.049739,0.066135,0.129363,0.167608,0.204118,0.249876,0.296528,0.346178,0.392909,0.383911,0.434724,0.475201,0.478586,0.50405,0.355969,0.412972,0.420858,0.420072,0.370597,0.304965,"Hypogymnia austerodes","Lichen"
"hypaus_AK2018_04","hypaus","AK2018",0.041433,0.037919,0.050885,0.059027,0.125172,0.148252,0.165413,0.190324,0.215149,0.237493,0.254743,0.226785,0.251069,0.272225,0.266264,0.279303,0.187989,0.222712,0.224458,0.226345,0.194915,0.155554,"Hypogymnia austerodes","Lichen"
"parsul_AK2018_01","parsul","AK2018",0.076231,0.179424,0.196124,0.200053,0.238702,0.242577,0.243762,0.249425,0.259745,0.272337,0.281196,0.24557,0.272937,0.297232,0.293297,0.309522,0.198767,0.24605,0.250685,0.252465,0.220472,0.176028,"Parmelis sulcata","Lichen"
"parsul_AK2018_02","parsul","AK2018",0.102393,0.212994,0.240886,0.218336,0.376825,0.384537,0.384567,0.390495,0.398789,0.409621,0.41691,0.354185,0.389666,0.422491,0.410668,0.433771,0.281355,0.325284,0.318829,0.321703,0.277649,0.22824,"Parmelis sulcata","Lichen"
"parsul_AK2018_03","parsul","AK2018",0.093798,0.209549,0.2367,0.241006,0.311694,0.320289,0.324157,0.332962,0.34388,0.358555,0.374395,0.326217,0.368685,0.407228,0.40032,0.42522,0.253176,0.306834,0.307392,0.307985,0.260605,0.208002,"Parmelis sulcata","Lichen"
"parsul_AK2018_04","parsul","AK2018",0.087559,0.210052,0.227435,0.238064,0.290207,0.303388,0.312983,0.32901,0.347071,0.36981,0.389978,0.360599,0.39142,0.41751,0.4103,0.432232,0.32554,0.364269,0.355953,0.335512,0.303842,0.260465,"Parmelis sulcata","Lichen"
"pelleu_AK2018_01","pelleu","AK2018",0.165484,0.083943,0.149832,0.182318,0.39349,0.452727,0.47901,0.495408,0.510172,0.526228,0.535494,0.462221,0.502651,0.534559,0.519674,0.544452,0.334206,0.414313,0.418833,0.393958,0.357075,0.292725,"Peltigers leucophlebia","Lichen"
"pelleu_AK2018_02","pelleu","AK2018",0.140679,0.081072,0.141248,0.160982,0.352315,0.40806,0.434521,0.454226,0.472148,0.491507,0.504829,0.444152,0.483423,0.515513,0.504637,0.530902,0.335809,0.405837,0.410886,0.391387,0.357283,0.298841,"Peltigers leucophlebia","Lichen"
"pelleu_AK2018_03","pelleu","AK2018",0.180073,0.163285,0.242301,0.199984,0.479061,0.502748,0.510231,0.524341,0.534589,0.548302,0.55675,0.466516,0.511573,0.548305,0.530056,0.556085,0.323744,0.396987,0.404336,0.388727,0.351463,0.288471,"Peltigers leucophlebia","Lichen"
"pelleu_AK2018_04","pelleu","AK2018",0.1955,0.126115,0.195172,0.198673,0.424301,0.478599,0.502243,0.517595,0.535185,0.556305,0.57348,0.510052,0.553576,0.591377,0.578067,0.61234,0.391289,0.468173,0.469062,0.440372,0.397368,0.337475,"Peltigers leucophlebia","Lichen"
"pelmal_AK2018_01","pelmal","AK2018",0.18119,0.180454,0.273092,0.300047,0.472891,0.528962,0.562808,0.599347,0.628992,0.665442,0.698933,0.601786,0.67013,0.731135,0.720763,0.761761,0.43176,0.543492,0.556238,0.532477,0.492706,0.404173,"Peltigera malacea","Lichen"
"pelmal_AK2018_02","pelmal","AK2018",0.211597,0.102209,0.15467,0.20894,0.546686,0.628418,0.657452,0.670383,0.680776,0.695205,0.702655,0.570815,0.622798,0.667848,0.635888,0.664369,0.36447,0.459828,0.468241,0.439788,0.403663,0.331438,"Peltigera malacea","Lichen"
"pelmal_AK2018_03","pelmal","AK2018",0.211535,0.186159,0.220224,0.233019,0.590014,0.676846,0.703635,0.733737,0.760516,0.797457,0.828849,0.690979,0.768452,0.833902,0.805944,0.839445,0.451476,0.580871,0.604721,0.576594,0.534472,0.441768,"Peltigera malacea","Lichen"
"pelmal_AK2018_04","pelmal","AK2018",0.21927,0.162463,0.216164,0.245057,0.572844,0.632619,0.651122,0.662054,0.672592,0.687137,0.696903,0.580584,0.629407,0.674018,0.650032,0.678569,0.386332,0.479106,0.488287,0.464178,0.430484,0.357374,"Peltigera malacea","Lichen"
"claste_Beth001","claste","Bethel",0.157938,0.181989,0.25204,0.272252,0.390024,0.41352,0.421734,0.419183,0.416011,0.410156,0.394858,0.282702,0.305171,0.328166,0.306398,0.317643,0.199632,0.233977,0.236334,0.224342,0.198062,0.165492,"Cladonia steallaris","Lichen"
"claste_Beth002","claste","Bethel",0.128966,0.205486,0.274209,0.287308,0.39184,0.409339,0.415638,0.421789,0.421877,0.419273,0.409286,0.308308,0.331923,0.355768,0.33658,0.34874,0.223175,0.261105,0.265905,0.25394,0.228015,0.197194,"Cladonia steallaris","Lichen"
"claste_Beth003","claste","Bethel",0.119088,0.133358,0.174092,0.194544,0.257807,0.275932,0.282651,0.282673,0.27833,0.273118,0.257874,0.174779,0.192067,0.210228,0.196177,0.201478,0.120639,0.145645,0.148901,0.143862,0.122942,0.099065,"Cladonia steallaris","Lichen"
"claste_Beth004","claste","Bethel",0.130515,0.146521,0.193241,0.206765,0.30458,0.322221,0.324497,0.322472,0.313787,0.305712,0.284141,0.179889,0.202436,0.224955,0.208021,0.212951,0.114801,0.146738,0.153444,0.148069,0.12518,0.099193,"Cladonia steallaris","Lichen"
"clasty_Beth001","clasty","Bethel",0.109572,0.089024,0.108115,0.134798,0.233147,0.294032,0.329995,0.349623,0.365104,0.374347,0.370031,0.254724,0.282995,0.310373,0.289782,0.300184,0.172142,0.209497,0.21627,0.211882,0.18609,0.153683,"Cladonia stygia","Lichen"
"clasty_Beth002","clasty","Bethel",0.115411,0.088654,0.110224,0.140579,0.24255,0.304183,0.343667,0.365954,0.382271,0.390585,0.385374,0.254523,0.283941,0.315662,0.292622,0.305699,0.173642,0.210458,0.215022,0.210567,0.180426,0.147861,"Cladonia stygia","Lichen"
"clasty_Beth003","clasty","Bethel",0.104428,0.098003,0.125425,0.162159,0.265572,0.319449,0.348437,0.367386,0.379845,0.385957,0.381113,0.264774,0.294123,0.323225,0.303862,0.315931,0.183908,0.221662,0.227924,0.222788,0.196049,0.164662,"Cladonia stygia","Lichen"
"clasty_Beth004","clasty","Bethel",0.136654,0.097397,0.121447,0.154958,0.260594,0.322162,0.359954,0.378961,0.398115,0.410486,0.408099,0.275421,0.30722,0.341926,0.317925,0.332844,0.188835,0.232288,0.23775,0.234165,0.198399,0.161482,"Cladonia stygia","Lichen"
"icmeri_Beth001","icmeri","Bethel",0.24416,0.299945,0.38276,0.403683,0.512663,0.545216,0.558841,0.597384,0.570574,0.572771,0.497132,0.240596,0.335012,0.403539,0.369883,0.340002,0.124588,0.21199,0.278256,0.273849,0.211507,0.149183,"Icmadophila ericetorum","Lichen"
"icmeri_Beth002","icmeri","Bethel",0.246808,0.284094,0.389601,0.382789,0.567232,0.609709,0.626644,0.665094,0.641925,0.647222,0.57952,0.301515,0.40993,0.48324,0.439473,0.415002,0.1664,0.26386,0.331222,0.318668,0.246737,0.184964,"Icmadophila ericetorum","Lichen"
"icmeri_Beth003","icmeri","Bethel",0.248611,0.295365,0.393269,0.380984,0.576406,0.597531,0.597042,0.62327,0.58639,0.581675,0.49735,0.231089,0.3253,0.395081,0.361426,0.331375,0.118812,0.199447,0.265063,0.260325,0.199794,0.142543,"Icmadophila ericetorum","Lichen"
"icmeri_Beth004","icmeri","Bethel",0.30447,0.337467,0.536184,0.474871,0.783011,0.824412,0.819552,0.849729,0.786588,0.771066,0.675632,0.332186,0.471783,0.558403,0.51322,0.472254,0.156929,0.286287,0.396567,0.385433,0.288155,0.19869,"Icmadophila ericetorum","Lichen"
"icmeri_Beth005","icmeri","Bethel",0.265136,0.24921,0.36294,0.370614,0.545059,0.583507,0.604061,0.615265,0.589221,0.580353,0.52993,0.320307,0.39763,0.446429,0.412922,0.399575,0.17651,0.267744,0.317778,0.304599,0.242803,0.18552,"Icmadophila ericetorum","Lichen"
"icmeri_Beth006","icmeri","Bethel",0.286249,0.305972,0.416304,0.378879,0.569404,0.584011,0.584009,0.582597,0.548794,0.536311,0.479856,0.269027,0.344348,0.391465,0.353853,0.338407,0.143108,0.217081,0.263699,0.245672,0.188579,0.143454,"Icmadophila ericetorum","Lichen"
"icmeri_Beth007","icmeri","Bethel",0.208413,0.142253,0.24601,0.177199,0.497095,0.52539,0.540196,0.549642,0.521522,0.515426,0.457231,0.246454,0.323633,0.37413,0.340717,0.322681,0.124479,0.199694,0.248535,0.235279,0.180631,0.132218,"Icmadophila ericetorum","Lichen"
"icmeri_Beth008","icmeri","Bethel",0.308942,0.379654,0.452745,0.442325,0.57832,0.585929,0.585205,0.590657,0.581279,0.578811,0.549438,0.368929,0.434224,0.47736,0.447309,0.44136,0.225524,0.313745,0.357519,0.341038,0.276732,0.220561,"Icmadophila ericetorum","Lichen"
"arccen_Brooks001","arccen","Brooks_Range",0.200717,0.246325,0.354196,0.351438,0.511532,0.528954,0.535268,0.540671,0.548195,0.555573,0.55433,0.440389,0.455273,0.480479,0.446625,0.476656,0.322288,0.35464,0.343313,0.309103,0.27923,0.243301,"Arctocetraria centrifuga","Lichen"
"arccen_Brooks002","arccen","Brooks_Range",0.157037,0.190541,0.267833,0.274118,0.380686,0.403495,0.417011,0.429093,0.443007,0.457628,0.464564,0.370968,0.392053,0.416788,0.388128,0.416358,0.280681,0.310379,0.304603,0.277264,0.244315,0.209766,"Arctocetraria centrifuga","Lichen"
"arccen_Brooks003","arccen","Brooks_Range",0.162001,0.195767,0.253065,0.254492,0.348333,0.367185,0.3805,0.393092,0.410663,0.430898,0.445563,0.37264,0.396078,0.42283,0.397783,0.428605,0.296029,0.32402,0.316395,0.291805,0.253918,0.218546,"Arctocetraria centrifuga","Lichen"
"arccen_Brooks004","arccen","Brooks_Range",0.199095,0.248017,0.330562,0.319943,0.474518,0.486748,0.489372,0.487823,0.493542,0.500917,0.502132,0.415315,0.426817,0.451248,0.422381,0.45203,0.321642,0.344367,0.333192,0.303835,0.273475,0.238784,"Arctocetraria centrifuga","Lichen"
"asachr_Brooks001","asachr","Brooks_Range",0.209329,0.268566,0.374354,0.376653,0.546063,0.552967,0.554804,0.549713,0.550085,0.549,0.53901,0.429553,0.451071,0.474275,0.443725,0.464375,0.310117,0.357353,0.353516,0.328793,0.290682,0.242464,"Asahinea chrysantha","Lichen"
"asachr_Brooks002","asachr","Brooks_Range",0.150671,0.21946,0.289661,0.317274,0.39479,0.407309,0.411321,0.417654,0.422874,0.428879,0.425035,0.343897,0.36565,0.387365,0.366133,0.385506,0.255389,0.296547,0.294943,0.273223,0.241133,0.205997,"Asahinea chrysantha","Lichen"
"asachr_Brooks003","asachr","Brooks_Range",0.11038,0.121072,0.172206,0.183843,0.274083,0.284663,0.288137,0.290649,0.293474,0.295572,0.291681,0.212441,0.231095,0.252444,0.233992,0.250448,0.145108,0.17654,0.175976,0.165689,0.138829,0.111606,"Asahinea chrysantha","Lichen"
"asachr_Brooks004","asachr","Brooks_Range",0.165353,0.226521,0.334475,0.362954,0.431933,0.448156,0.453512,0.459281,0.465018,0.470725,0.465922,0.377102,0.400923,0.422663,0.397463,0.418153,0.29138,0.329617,0.32405,0.291866,0.260468,0.221873,"Asahinea chrysantha","Lichen"
"clamit_Brooks001","clamit","Brooks_Range",0.100816,0.160948,0.205782,0.21659,0.28697,0.303642,0.308468,0.325472,0.327189,0.328571,0.322037,0.228712,0.252079,0.277727,0.261738,0.274377,0.164848,0.194383,0.199793,0.200923,0.174948,0.148571,"Cladonia mitis","Lichen"
"clamit_Brooks002","clamit","Brooks_Range",0.12378,0.183248,0.247556,0.276486,0.395385,0.4236,0.435094,0.46544,0.471144,0.475357,0.470199,0.362189,0.390908,0.4201,0.402394,0.419416,0.276217,0.32017,0.328612,0.319052,0.29209,0.253808,"Cladonia mitis","Lichen"
"clamit_Brooks003","clamit","Brooks_Range",0.133708,0.191815,0.254444,0.263591,0.3511,0.368865,0.375792,0.390618,0.391095,0.389965,0.381515,0.276117,0.301145,0.32945,0.311099,0.324527,0.201139,0.239459,0.244613,0.240959,0.21092,0.176154,"Cladonia mitis","Lichen"
"clamit_Brooks004","clamit","Brooks_Range",0.124463,0.181694,0.232071,0.228388,0.332095,0.344151,0.345561,0.354918,0.352457,0.351698,0.341542,0.247196,0.268197,0.291149,0.273153,0.284892,0.178509,0.214594,0.219617,0.215767,0.189349,0.157322,"Cladonia mitis","Lichen"
"claste_Brooks001","claste","Brooks_Range",0.128492,0.170539,0.228024,0.23487,0.314677,0.324762,0.327358,0.329095,0.327092,0.323468,0.315986,0.238156,0.252538,0.270691,0.255054,0.266505,0.178443,0.203241,0.204275,0.196783,0.172001,0.145602,"Cladonia steallaris","Lichen"
