"ScanID","PFT","PFT_2","PFT_3","PFT_4","Area","PFT2_Freq","PFT3_Freq","PFT4_Freq","450","520","630","770","1550","2090"
"arcsta_Beth003","arcsta","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub","Bethel",19,971,992,0.050409,0.069899,0.067806,0.519894,0.249456,0.136901
"14","arcrub","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub","Murphy",19,971,992,0.050693,0.073831,0.060704,0.779714,0.314384,0.15611
"12","arcrub","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub","Murphy",19,971,992,0.047611,0.078182,0.08728,0.479179,0.221457,0.116202
"arcnig_Beth002","arcnig","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub","Bethel",19,971,992,0.064912,0.088412,0.071144,0.561371,0.242091,0.133608
"arcsta_Beth002","arcsta","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub","Bethel",19,971,992,0.050436,0.076134,0.063165,0.495839,0.251574,0.138627
"10","arcrub","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub","Murphy",19,971,992,0.043554,0.090045,0.080907,0.591563,0.317765,0.169589
"15","arcrub","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub","Murphy",19,971,992,0.064484,0.088187,0.081399,0.801468,0.336258,0.175373
"9","arcrub","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub","Murphy",19,971,992,0.061902,0.080602,0.070481,0.76128,0.330964,0.17096
"arcnig_Beth004","arcnig","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub","Bethel",19,971,992,0.059413,0.078702,0.069345,0.556016,0.230629,0.119843
"17","arcrub","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub","Murphy",19,971,992,0.037686,0.06778,0.083952,0.234135,0.238992,0.138406
"7","arcrub","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub","Murphy",19,971,992,0.056425,0.081341,0.087027,0.600775,0.32781,0.173156
"arcnig_Beth001","arcnig","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub","Bethel",19,971,992,0.065801,0.08622,0.075137,0.560027,0.229588,0.12439
"11","arcrub","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub","Murphy",19,971,992,0.037992,0.071446,0.078132,0.356693,0.259344,0.150234
"arcnig_Beth003","arcnig","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub","Bethel",19,971,992,0.060171,0.086687,0.075982,0.567111,0.244777,0.130992
"13","arcrub","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub","Murphy",19,971,992,0.053114,0.082074,0.069962,0.55393,0.250951,0.128857
"16","arcrub","Arctostaphyllos","Dwarf_Shrub_Broad","Dwarf Shrub","Murphy",19,971,992,0.055154,0.117994,0.094184,0.675369,0.31837,0.175644
"39","dryala","Dryas alleghenies","Dwarf_Shrub_Broad","Dwarf Shrub","Big Trail",272,971,992,0.05144,0.094904,0.097671,0.341538,0.162158,0.093476
"32","dryala","Dryas alleghenies","Dwarf_Shrub_Broad","Dwarf Shrub","Big Trail",272,971,992,0.027116,0.048777,0.044161,0.416213,0.165336,0.086685
"1","dryala","Dryas alleghenies","Dwarf_Shrub_Broad","Dwarf Shrub","Wickersham B",272,971,992,0.063774,0.094056,0.063648,0.647252,0.345359,0.203963
"21","dryala","Dryas alleghenies","Dwarf_Shrub_Broad","Dwarf Shrub","Wickersham B",272,971,992,0.059313,0.14122,0.100913,0.685222,0.355598,0.218263
"96","dryala","Dryas alleghenies","Dwarf_Shrub_Broad","Dwarf Shrub","Big Trail",272,971,992,0.080286,0.122333,0.126931,0.524901,0.359961,0.238573
"59","dryala","Dryas alleghenies","Dwarf_Shrub_Broad","Dwarf Shrub","Big Trail",272,971,992,0.032882,0.059048,0.05029,0.382948,0.195881,0.104611
"136","dryala","Dryas alleghenies","Dwarf_Shrub_Broad","Dwarf Shrub","Big Trail",272,971,992,0.057649,0.075136,0.058764,0.689778,0.320496,0.182997
"87","dryala","Dryas alleghenies","Dwarf_Shrub_Broad","Dwarf Shrub","Big Trail",272,971,992,0.035877,0.063592,0.04943,0.515368,0.237438,0.132672
"51","dryala","Dryas alleghenies","Dwarf_Shrub_Broad","Dwarf Shrub","Big Trail",272,971,992,0.042239,0.057257,0.04583,0.514176,0.255473,0.144496
"44","dryala","Dryas alleghenies","Dwarf_Shrub_Broad","Dwarf Shrub","Big Trail",272,971,992,0.092842,0.143364,0.135319,0.486755,0.250529,0.162551
"158","dryala","Dryas alleghenies","Dwarf_Shrub_Broad","Dwarf Shrub","Big Trail",272,971,992,0.118667,0.145337,0.142479,0.467308,0.219581,0.160654
"170","dryala","Dryas alleghenies","Dwarf_Shrub_Broad","Dwarf Shrub","Big Trail",272,971,992,0.053734,0.073574,0.061545,0.577741,0.259913,0.146943
"80","dryala","Dryas alleghenies","Dwarf_Shrub_Broad","Dwarf Shrub","Big Trail",272,971,992,0.069769,0.086351,0.07789,0.599327,0.308402,0.178559
"125","dryala","Dryas alleghenies","Dwarf_Shrub_Broad","Dwarf Shrub","Big Trail",272,971,992,0.070218,0.101973,0.100837,0.573479,0.241784,0.142857
"15","dryala","Dryas alleghenies","Dwarf_Shrub_Broad","Dwarf Shrub","Wickersham B",272,971,992,0.059769,0.11761,0.07505,0.722058,0.421473,0.269942
"10","dryala","Dryas alleghenies","Dwarf_Shrub_Broad","Dwarf Shrub","Wickersham B",272,971,992,0.072754,0.131206,0.112937,0.681221,0.363104,0.221929
"129","dryala","Dryas alleghenies","Dwarf_Shrub_Broad","Dwarf Shrub","Big Trail",272,971,992,0.06583,0.11408,0.096571,0.566973,0.271321,0.168463
