"Alectoria ochroleuca","Arctocetraria centrifuga","Asahinea chrysantha","Bryoria sp.","Cetraria islandica","Cetraria laevigata","Cladonia amaurocraea","Cladonia cornuta","Cladonia gracilis","Cladonia mitis","Cladonia rangiferina","Cladonia steallaris","Cladonia stygia","Cladonia sulphurina","Cladonia uncialis","Evernia mesomorpha","Flavocetraria cucculata","Flavocetraria nivalis","Hypogymnia austerodes","Icmadophila ericetorum","Masonhalea richardsonii","Melanelia sp.","Nephroma arcticum","Parmelia omphalodes","Parmeliopsis ambigua","Parmelis sulcata","Peltigera apthosa","Peltigera malacea","Peltigera scabrata","Peltigers leucophlebia","Porpidia sp.","Rhizocarpon geographicum","Rhizocarpon sp.","Stereocaulon sp.","Trapelopsis granulosa","Umbilicaria arctica","Umbilicaria hyperborea","Usnea lapponica","Usnea scabrata","Vulpicida pinastri","class.error"
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.333333333333333
0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.666666666666667
0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0.5
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5
0,0,0,0,0,0,0,0,0,7,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.416666666666667
