"","Functional_group1","Wavelength","Median_Reflectance","Max_Reflectance","Min_Reflectance","Pct_87_5_Reflectance","Pct_12_5_Reflectance","Upper_Reflectance","Lower_Reflectance"
"66","Abiotic",1065,29.8693,73.1235,13.1698,65.7033875,16.7950125,68.6453,14.957405
"67","Abiotic",1066,29.9169,73.126,13.1887,65.714175,16.798625,68.6473,14.97813
"68","Abiotic",1067,29.9652,73.1315,13.208,65.7274,16.8026,68.6527,14.99981
"69","Abiotic",1068,30.0133,73.1373,13.2272,65.741325,16.806475,68.6587,15.02178
"70","Abiotic",1069,30.06045,73.1404,13.2459,65.7542,16.8096375,68.6628,15.043545
"71","Abiotic",1070,30.1064,73.1403,13.2638,65.765975,16.811775,68.6646,15.064905
"72","Abiotic",1071,30.15165,73.1382,13.2812,65.7772875,16.8131625,68.6652,15.08609
"73","Abiotic",1072,30.1961,73.1347,13.2984,65.7877375,16.8143125,68.6645,15.107405
"74","Abiotic",1073,30.23985,73.1302,13.3158,65.796925,16.8156,68.6623,15.129015
"75","Abiotic",1074,30.2825,73.1239,13.3335,65.8042125,16.817125,68.6576,15.1506
"76","Abiotic",1075,30.3243,73.1162,13.3513,65.8101625,16.8186,68.6512,15.17235
"77","Abiotic",1076,30.36585,73.1084,13.3689,65.8158875,16.820175,68.6446,15.194655
"78","Abiotic",1077,30.40765,73.102,13.3861,65.82245,16.8277375,68.6393,15.2181
"79","Abiotic",1078,30.4491,73.0977,13.4029,65.83055,16.8426125,68.6347,15.24328
"80","Abiotic",1079,30.49045,73.0942,13.4193,65.839125,16.857575,68.6307,15.26944
"81","Abiotic",1080,30.5327,73.0901,13.4357,65.8467,16.87275,68.628,15.295365
"82","Abiotic",1081,30.57665,73.084,13.4523,65.8522,16.8884375,68.6272,15.320105
"83","Abiotic",1082,30.6242,73.0767,13.4694,65.855225,16.90505,68.6281,15.344235
"84","Abiotic",1083,30.67295,73.0681,13.4865,65.8568125,16.92205,68.6306,15.36777
"85","Abiotic",1084,30.7193,73.058,13.5032,65.8580125,16.9382,68.6349,15.37709
"86","Abiotic",1085,30.75975,73.0459,13.5189,65.8598875,16.9521625,68.6415,15.37849
"87","Abiotic",1086,30.7923,73.0317,13.5329,65.862425,16.9627625,68.6532,15.375245
"88","Abiotic",1087,30.8222,73.0159,13.5467,65.8647125,16.972625,68.6661,15.37033
"89","Abiotic",1088,30.85585,72.9989,13.5619,65.8658625,16.98465,68.6747,15.36763
"90","Abiotic",1089,30.8981,72.9805,13.5802,65.86435,17.001175,68.6743,15.37009
"91","Abiotic",1090,30.946,72.9594,13.6008,65.8596625,17.0209875,68.666,15.375775
"92","Abiotic",1091,30.998,72.9382,13.6229,65.8546,17.0431,68.6543,15.38397
"93","Abiotic",1092,31.05315,72.9199,13.6458,65.8524375,17.0667125,68.6437,15.394095
"94","Abiotic",1093,31.1119,72.9072,13.6693,65.85575,17.0919625,68.6369,15.40641
"95","Abiotic",1094,31.1763,72.899,13.6943,65.8635,17.11985,68.6314,15.42206
"96","Abiotic",1095,31.2419,72.8928,13.7195,65.873025,17.148325,68.627,15.438635
"97","Abiotic",1096,31.3037,72.886,13.7436,65.88155,17.1751375,68.6243,15.45382
"98","Abiotic",1097,31.35855,72.8772,13.7658,65.887875,17.1985625,68.624,15.466235
"99","Abiotic",1098,31.40885,72.868,13.7866,65.893625,17.2196625,68.6263,15.477245
"100","Abiotic",1099,31.45725,72.8584,13.8069,65.8984875,17.2401625,68.629,15.490685
"101","Abiotic",1100,31.5062,72.8487,13.8275,65.9023375,17.261575,68.6298,15.50431
"102","Abiotic",1101,31.5574,72.8404,13.8491,65.9047,17.2849,68.6283,15.517155
"103","Abiotic",1102,31.60935,72.8334,13.8711,65.90685,17.331,68.6257,15.529205
"104","Abiotic",1103,31.66045,72.824,13.893,65.9069875,17.3883,68.6212,15.5401
"105","Abiotic",1104,31.70905,72.8084,13.9144,65.9032625,17.4451,68.6141,15.549445
"106","Abiotic",1105,31.7548,72.7846,13.9356,65.8940125,17.5014,68.6032,15.557
"107","Abiotic",1106,31.7985,72.7548,13.9566,65.880675,17.5576,68.5892,15.562945
"108","Abiotic",1107,31.8401,72.7221,13.9765,65.865775,17.598,68.5743,15.567715
"109","Abiotic",1108,31.8796,72.6893,13.9943,65.8514875,17.6001,68.5605,15.571745
"110","Abiotic",1109,31.91565,72.6535,14.009,65.8359625,17.6016,68.5463,15.57413
"111","Abiotic",1110,31.94935,72.6159,14.022,65.8197625,17.6027,68.5322,15.57544
"112","Abiotic",1111,31.98315,72.5814,14.0349,65.8060625,17.6047,68.5203,15.577115
"113","Abiotic",1112,32.01925,72.5547,14.0493,65.7977125,17.6086,68.5131,15.58036
"114","Abiotic",1113,32.05675,72.5372,14.0643,65.7959375,17.6145,68.5121,15.583335
"115","Abiotic",1114,32.0953,72.5247,14.0799,65.7978,17.6218,68.5144,15.58497
"116","Abiotic",1115,32.1351,72.5126,14.0968,65.7998125,17.63,68.516,15.58732
"117","Abiotic",1116,32.1764,72.497,14.1157,65.799,17.6388,68.5134,15.5906
"118","Abiotic",1117,32.2206,72.4804,14.1372,65.7965625,17.6492,68.5073,15.59548
"119","Abiotic",1118,32.2658,72.4627,14.1601,65.7932625,17.6603,68.4996,15.601045
"120","Abiotic",1119,32.3092,72.4425,14.1826,65.788975,17.6707,68.4914,15.606045
"121","Abiotic",1120,32.3485,72.4187,14.2034,65.783675,17.6795,68.4837,15.6095
"122","Abiotic",1121,32.3844,72.392,14.2231,65.7774125,17.6871,68.476,15.611725
"123","Abiotic",1122,32.41885,72.3628,14.2424,65.77015,17.7243,68.4678,15.613545
