"","Wavelength","diff_median"
"1",397.593,0.685676844386273
"2",399.444,0.627783547978025
"3",401.296,0.624646876300324
"4",403.148,0.621970676597583
"5",405,0.613585742882231
"6",406.851,0.590393795394839
"7",408.703,0.599119636521659
"8",410.555,0.641354435919939
"9",412.407,0.659316746884122
"10",414.258,0.717712042041575
"11",416.11,0.712800770710551
"12",417.962,0.789435120781762
"13",419.814,0.812526384431337
"14",421.666,0.807386789567643
"15",423.517,0.781197461856495
"16",425.369,0.823551335177643
"17",427.221,0.832398144108213
"18",429.073,0.802209873470259
"19",430.924,0.801287672191714
"20",432.776,0.795501226498008
"21",434.628,0.850844723453512
"22",436.48,0.8232727596021
"23",438.332,0.836194266126586
"24",440.183,0.825443642160452
"25",442.035,0.84286468930916
"26",443.887,0.820762169703983
"27",445.739,0.828755633358459
"28",447.59,0.823511805013049
"29",449.442,0.807081328242307
"30",451.294,0.826652337198682
"31",453.146,0.786077282157566
"32",454.998,0.768190292556541
"33",456.849,0.780123821427138
"34",458.701,0.77019684983154
"35",460.553,0.791810486419226
"36",462.405,0.763262375639995
"37",464.256,0.801582285663404
"38",466.108,0.7798378716116
"39",467.96,0.785989129761227
"40",469.812,0.782798281302585
"41",471.664,0.772410217101694
"42",473.515,0.766264325706341
"43",475.367,0.77620510116773
"44",477.219,0.77574552139093
"45",479.071,0.762708588494631
"46",480.922,0.764716276929161
"47",482.774,0.777782172863089
"48",484.626,0.801806893708466
"49",486.478,0.777899209866964
"50",488.33,0.779420463528005
"51",490.181,0.774765467979275
"52",492.033,0.773068118282562
"53",493.885,0.786406216080715
"54",495.737,0.76974659174676
"55",497.588,0.807197667486272
"56",499.44,0.78418719017554
"57",501.292,0.790689987420282
"58",503.144,0.791189006253654
"59",504.996,0.79258543014162
"60",506.847,0.783725095005741
"61",508.699,0.801434674071621
"62",510.551,0.775526326425751
"63",512.403,0.797009676397457
"64",514.254,0.784850905102992
"65",516.106,0.787614748036313
"66",517.958,0.807312826796418
"67",519.81,0.807905888314884
"68",521.662,0.788253432496655
"69",523.513,0.812164618817552
"70",525.365,0.806068534363956
"71",527.217,0.800209117364947
"72",529.069,0.798529086755559
"73",530.92,0.784197175961071
"74",532.772,0.807126748628639
"75",534.624,0.774058808679917
"76",536.476,0.802600508734917
"77",538.328,0.797994544168206
"78",540.179,0.815993048129883
"79",542.031,0.812187094285105
"80",543.883,0.794981597712403
"81",545.735,0.800143261735014
"82",547.586,0.823932161576436
"83",549.438,0.820414726918885
"84",551.29,0.799769746201182
"85",553.142,0.810693091775195
"86",554.994,0.797795704796218
"87",556.845,0.800163705383561
"88",558.697,0.816963318670996
"89",560.549,0.823509140085908
"90",562.401,0.79854484893823
"91",564.252,0.818690173066252
"92",566.104,0.790415365776018
"93",567.956,0.817565001001167
"94",569.808,0.795037602450593
"95",571.659,0.797339880376704
"96",573.511,0.814848819331638
"97",575.363,0.80205442806367
"98",577.215,0.799744288806324
"99",579.067,0.800619820540896
"100",580.918,0.793985383939541
"101",582.77,0.785674371087211
"102",584.622,0.799593686397623
"103",586.474,0.799417390338541
"104",588.325,0.797820547382026
"105",590.177,0.80556763147355
"106",592.029,0.804490012523351
"107",593.881,0.800844866743693
"108",595.733,0.80234386439431
"109",597.584,0.803919288419147
"110",599.436,0.803522637008381
"111",601.288,0.786603076895059
"112",603.14,0.814304013687191
"113",604.991,0.809461209044719
"114",606.843,0.812278696215342
"115",608.695,0.810489187213498
"116",610.547,0.802378391310216
"117",612.399,0.811547180738532
"118",614.25,0.814508367503494
"119",616.102,0.797111343050033
"120",617.954,0.811868445122194
"121",619.806,0.813063649657915
"122",621.657,0.803683793647179
"123",623.509,0.801350323843319
"124",625.361,0.801467554540583
"125",627.213,0.811983091554064
"126",629.065,0.808467568371216
"127",630.916,0.788697381202235
"128",632.768,0.807437765805314
"129",634.62,0.802918216537135
"130",636.472,0.831325820242093
"131",638.323,0.785849397631554
"132",640.175,0.784988870001794
"133",642.027,0.77781245977756
"134",643.879,0.794155861785802
"135",645.731,0.766952404626299
"136",647.582,0.798033015725507
"137",649.434,0.81557314482577
"138",651.286,0.799858932583235
"139",653.138,0.804183827143548
"140",654.989,0.814582301223385
"141",656.841,0.808491990056635
"142",658.693,0.789751247920717
"143",660.545,0.778738910377675
"144",662.397,0.788889111532944
"145",664.248,0.795898004187718
"146",666.1,0.817812549848207
"147",667.952,0.799267912610588
"148",669.804,0.796416854826553
"149",671.655,0.848262842072737
"150",673.507,0.809548773537224
"151",675.359,0.797947667292177
"152",677.211,0.801754972918884
"153",679.063,0.798193564725399
"154",680.914,0.798812362843978
"155",682.766,0.783010502545143
"156",684.618,0.77706323737771
"157",686.47,0.794836386867626
"158",688.321,0.81102299945304
"159",690.173,0.784301341822979
"160",692.025,0.793299530801669
"161",693.877,0.770453435365282
"162",695.729,0.802510830562227
"163",697.58,0.830087826424645
"164",699.432,0.791728923301634
"165",701.284,0.796142042987234
"166",703.136,0.801180385128077
"167",704.987,0.775237655475856
"168",706.839,0.815560621223715
"169",708.691,0.764195509056187
"170",710.543,0.795738540534464
"171",712.395,0.831300180840932
"172",714.246,0.815288475242059
"173",716.098,0.792577625627836
"174",717.95,0.806073913721718
"175",719.802,0.811458588698178
"176",721.653,0.762651466161662
"177",723.505,0.803476704880497
"178",725.357,0.77430819509861
"179",727.209,0.807257803063891
"180",729.061,0.780383814842146
"181",730.912,0.799603985692386
"182",732.764,0.78816512558177
"183",734.616,0.804258195840528
"184",736.468,0.76669522395144
"185",738.319,0.778806961584592
