"","key","predicted_counts","prediction_prop","validation_counts","validation_prop"
"1","Abiotic",0,0,51.2,0.08
"2","Forb",66,0.103125,0,0
"3","Graminoid",0,0,160,0.25
"4","Lichen",2,0.003125,12.8,0.02
"5","Moss",123,0.1921875,160,0.25
"6","ShrubDecid",0,0,64,0.1
"7","ShrubEvergreen",423,0.6609375,192,0.3
"8","TreeBroadleaf",0,0,0,0
"9","TreeConifer",26,0.040625,0,0
"10","Unknown",0,0,0,0
