"","key","predicted_counts","prediction_prop","validation_counts","validation_prop"
"1","Abiotic",0,0,65.61,0.09
"2","Forb",0,0,0,0
"3","Graminoid",9,0.0123456790123457,72.9,0.1
"4","Lichen",0,0,65.61,0.09
"5","Moss",0,0,14.58,0.02
"6","ShrubDecid",0,0,328.05,0.45
"7","ShrubEvergreen",720,0.987654320987654,182.25,0.25
"8","TreeBroadleaf",0,0,0,0
"9","TreeConifer",0,0,0,0
"10","Unknown",0,0,0,0
