"ScanID","PFT","PFT_2","PFT_3","Freq1","Freq2","area","PC1","PC2","PC3","PC4","PC5","PC6","PC7"
"109","quartz","Quartz","Abiotic",25,58,"Murphy",-30.1458195820829,-11.3187816387541,-12.6781225076628,-0.256110293577172,-1.16297919562649,1.21884442612055,1.43065985258636
"94","gravel","Gravel","Abiotic",5,58,"Murphy",20.4090695079572,-18.3470919190668,0.405268013513149,-0.411846025177722,0.14364054071547,-0.542518840955524,0.115367274139216
"204","quartz","Quartz","Abiotic",25,58,"Murphy",-33.173575577948,-11.6335094861173,-16.2809664941166,2.06294381730637,-3.20758766762231,0.484775071278636,1.21956225190888
"102","quartz","Quartz","Abiotic",25,58,"Murphy",1.3033778240007,-15.4152232215844,-5.57494465569279,-1.13530875794842,-0.18372697063395,1.57787828745657,1.61375847959138
"34","bare rock","Bare Rock","Abiotic",7,58,"Murphy",11.6878540129317,-19.3701761076972,3.45234557042402,-0.308148849325955,0.0260019638983745,0.641981101792969,0.935834852533365
"122","quartz","Quartz","Abiotic",25,58,"Murphy",-42.1572783243635,-11.0534422476921,-12.7084887812558,1.88942508650874,-1.34339915093828,-0.105616565630927,-1.03290713294773
"salsic_AK2018_05","dead salix","Dead Salix","Abiotic",8,58,"AK2018",-10.9296497462919,-0.940253127316087,5.72445186068936,-3.32762207850058,1.3646431707074,-0.320823193850754,0.380804628166499
"110","quartz","Quartz","Abiotic",25,58,"Murphy",-51.8929633935669,-11.5875606984398,-11.5685817862176,0.0302381347339304,2.1741853462298,0.280697513405505,-1.30308297847342
"35","bare rock","Bare Rock","Abiotic",7,58,"Murphy",16.6048817867758,-16.0681723383344,-0.810162295427,-1.56393498340968,0.744105041767511,0.787273437749051,0.54849605084064
"salsic_AK2018_04","dead salix","Dead Salix","Abiotic",8,58,"AK2018",6.21776564077836,4.21177136360619,-0.0620419468037662,0.379906390135189,0.796911096823309,1.84379807845524,0.511968979574416
"salsic_AK2018_04","dead salix","Dead Salix","Abiotic",8,58,"AK2018",6.21776564077836,4.21177136360619,-0.0620419468037662,0.379906390135189,0.796911096823309,1.84379807845524,0.511968979574416
"97","gravel","Gravel","Abiotic",5,58,"Murphy",9.86303560129488,-17.6693228180725,4.83756234082746,-0.865252530315588,-0.722640335632591,-1.17707416894495,0.0214784462279202
"salsic_AK2018_05","dead salix","Dead Salix","Abiotic",8,58,"AK2018",-10.9296497462919,-0.940253127316087,5.72445186068936,-3.32762207850058,1.3646431707074,-0.320823193850754,0.380804628166499
"39","bare_soil","Bare Soil","Abiotic",8,58,"Murphy",7.53825912525264,-18.192131074122,-1.65684209642325,-0.805571607749669,2.0036419695896,-1.9455422733145,-0.908053027151291
"110","quartz","Quartz","Abiotic",25,58,"Murphy",-51.8929633935669,-11.5875606984398,-11.5685817862176,0.0302381347339304,2.1741853462298,0.280697513405505,-1.30308297847342
"43","bare_soil","Bare Soil","Abiotic",8,58,"Murphy",20.3707970023757,-16.3318472232261,-2.98810868924243,0.181760096956347,0.0299876386541318,-0.172851936380974,-0.6708405273655
"117","quartz","Quartz","Abiotic",25,58,"Murphy",-37.8178950652112,-12.8326023080669,-14.7235720628724,4.07944535313842,-3.85204467565013,-0.062101965425125,-0.226767061855517
"203","quartz","Quartz","Abiotic",25,58,"Murphy",-29.8220088660074,-13.7426856651801,-9.40227281651106,0.2581038175541,1.72584587433448,-0.330771579328677,-1.21343806221736
"118","quartz","Quartz","Abiotic",25,58,"Murphy",-33.5938502226712,-16.2442038696042,-13.8697481466689,4.00904424866006,-3.03261716451604,-2.4975579703313,0.0816566155917344
"95","gravel","Gravel","Abiotic",5,58,"Murphy",17.3784534477287,-17.4381671823211,-1.02079544893365,-0.30096947597074,-0.113487367242702,-0.834451788858331,-0.232025768963028
"35","bare rock","Bare Rock","Abiotic",7,58,"Murphy",16.6048817867758,-16.0681723383344,-0.810162295427,-1.56393498340968,0.744105041767511,0.787273437749051,0.54849605084064
"arcsta_Beth003","arcsta","Arctostaphyllos","Dwarf Shrub",19,992,"Bethel",4.6279057047036,6.48274851653513,0.220869492665645,0.757171497060685,0.504179425440907,0.957083923870238,0.27522456151259
"62","dryala","Dryas alleghenies","Dwarf Shrub",272,992,"Big Trail",9.74585688126334,2.16647790304402,-0.447170987126941,0.567873997770446,-0.501469519641444,0.557668788251506,-0.5084924516251
"37","dryoct","Dryas octopetala","Dwarf Shrub",612,992,"Wickersham B",-14.3249737242997,11.89508782994,5.77558906277402,1.37718388835766,-0.801516626823027,0.0467960370612011,1.12646200288329
"104","dryoct","Dryas octopetala","Dwarf Shrub",612,992,"Wickersham B",-7.50523887307449,12.8102802320375,3.5349904127384,0.874807071755223,-1.79116304036494,-0.249562578428737,0.795927137394037
"72","dryala","Dryas alleghenies","Dwarf Shrub",272,992,"Big Trail",-4.76383105075801,15.4662053928735,1.20331470190907,0.0503999883742744,-0.725252544458795,-0.539494655818485,-0.419774379497645
"21","dryala","Dryas alleghenies","Dwarf Shrub",272,992,"Wickersham B",-10.6751139273901,12.7673837243822,1.12600816338074,0.747979840224997,1.79102097993327,0.353041833288961,0.68419181075047
"59","dryala","Dryas alleghenies","Dwarf Shrub",272,992,"Big Trail",12.2199869197587,1.16847153516461,0.320115478138011,0.323635374953542,-0.87607523271637,0.516805005414322,-0.247544497199218
"1","dryala","Dryas alleghenies","Dwarf Shrub",272,992,"Wickersham B",-7.45174245231275,11.594888866705,2.73870248491234,1.3914436404725,0.0835091239691822,-0.335318328368122,1.0442805893541
