category,all_bands,5nm,10nm,50nm,100nm,smooth_all_bands,smooth_5nm,smooth_10nm,smooth_50nm,smooth_100nm
All_plants,0.411490683229814,0.40527950310559,0.450310559006211,0.459627329192547,0.472049689440994,0.416149068322981,0.40527950310559,0.394409937888199,0.414596273291925,0.445652173913043
Bryophytes,0.388888888888889,0.25,0.375,0.319444444444444,0.347222222222222,0.375,0.319444444444444,0.402777777777778,0.361111111111111,0.347222222222222
Lichen,0.419014084507042,0.334507042253521,0.380281690140845,0.461267605633803,0.426056338028169,0.408450704225352,0.362676056338028,0.429577464788732,0.436619718309859,0.447183098591549
Vascular,0.390243902439024,0.383275261324042,0.383275261324042,0.390243902439024,0.369337979094077,0.383275261324042,0.397212543554007,0.428571428571429,0.379790940766551,0.358885017421603
