"Species","smooth_100nm_more05"
"Bryoria sp.",0.2
"Ceratadon purpureus",0.2
"Dactylina arctica",0.285714285714286
"Dryas alleghenies",0.154411764705882
"Dryas octopetala",0.0555555555555556
"Eriophorum vaginatum",0.1
"Heracleum lanatum",0
"Lupinus sp.",0.25
"Parmelis sulcata",0.25
"Picea mariana",0.0588235294117647
"Pilophorus acicularis",0.2
"Porpidia sp.",0.181818181818182
"Rhizocarpon geographicum",0.111111111111111
"Rosa acicularis",0.222222222222222
"Salix alaxensis",0.127659574468085
"Sphagnum sp.",0.125
"Umbilicaria hyperborea",0.266666666666667
"Usnea scabrata",0.166666666666667
"Vulpicida pinastri",0.25
