"Species","Smooth_050nm"
"Alnus sp.",0.3
"Arctostaphyllos",0.2
"Asahinea chrysantha",0.5
"Betula nana",0.6
"Bryoria sp.",0.1
"Carex sp.",0.4
"Cetraria islandica",0.2
"Cladonia gracilis",0.3
"Cladonia mitis",0.2
"Cladonia rangiferina",0.5
"Cladonia steallaris",0.4
"Cladonia stygia",0.3
"Cladonia uncialis",0.4
"Dryas alleghenies",0.8
"Dryas octopetala",0.7
"Dryas sp.",0.1
"Empetrum nigrum",0.4
"Eriophorum vaginatum",0
"Evernia mesomorpha",0.5
"Flavocetraria cucculata",0.4
"Flavocetraria nivalis",0.5
"Hylocomium splendens",0.3
"Hypogymnia austerodes",0.2
"Ledum decumbens",0.5
"Lupinus sp.",0
"Masonhalea richardsonii",0.3
"Melanelia sp.",0.2
"Nephroma arcticum",0.1
"Parmelis sulcata",0.1
"Pedicularis racemosa",0.2
"Peltigera apthosa",0.2
"Picea mariana",0
"Pilophorus acicularis",0.1
"Polytrichum juniperinum",0.3
"Polytrichum sp.",0.4
"Porpidia sp.",0.1
"Rhizocarpon geographicum",0.1
"Rosa acicularis",0
"Rubus sp.",0.3
"Salix (wooly)",0
"Salix alaxensis",0.2
"Salix glauca",0.2
"Salix pulchra",0.1
"Umbilicaria hyperborea",0
"Usnea lapponica",0.1
"Usnea scabrata",0.2
"Vaccinium vitis-idea",0.5
"Vulpicida pinastri",0.2
