"Species","smooth_050nm_equal10"
"Arctostaphyllos",0.2
"Bryoria sp.",0.1
"Cetraria islandica",0.1
"Cladonia mitis",0.2
"Dryas sp.",0.1
"Eriophorum vaginatum",0
"Hypogymnia austerodes",0.1
"Lupinus sp.",0
"Melanelia sp.",0.2
"Nephroma arcticum",0.1
"Parmelis sulcata",0.1
"Pedicularis racemosa",0.2
"Peltigera apthosa",0.2
"Picea mariana",0.1
"Pilophorus acicularis",0.1
"Porpidia sp.",0.1
"Rhizocarpon geographicum",0.2
"Rosa acicularis",0
"Salix (wooly)",0
"Salix glauca",0.2
"Salix pulchra",0.1
"Umbilicaria hyperborea",0
"Usnea lapponica",0.1
"Usnea scabrata",0.2
"Vulpicida pinastri",0.2
