"Species","smooth_100nm_equal15"
"Alnus sp.",0.133333333333333
"Arctostaphyllos",0.2
"Carex sp.",0.2
"Cladonia gracilis",0.2
"Cladonia rangiferina",0.2
"Cladonia stygia",0.133333333333333
"Dryas sp.",0.2
"Evernia mesomorpha",0.2
"Flavocetraria nivalis",0.0666666666666667
"Nephroma arcticum",0.2
"Picea mariana",0.133333333333333
"Pilophorus acicularis",0.133333333333333
"Rhizocarpon geographicum",0.133333333333333
"Rosa acicularis",0
"Salix alaxensis",0.2
"Salix glauca",0.0666666666666667
"Umbilicaria hyperborea",0
