"Species","smooth_050nm_equal15"
"Arctostaphyllos",0.133333333333333
"Carex sp.",0.0666666666666667
"Cladonia gracilis",0.2
"Cladonia mitis",0.266666666666667
"Cladonia steallaris",0.266666666666667
"Cladonia stygia",0.2
"Dryas sp.",0.2
"Evernia mesomorpha",0.2
"Flavocetraria nivalis",0.266666666666667
"Ledum decumbens",0.2
"Nephroma arcticum",0.2
"Picea mariana",0.133333333333333
"Pilophorus acicularis",0.0666666666666667
"Rhizocarpon geographicum",0
"Rosa acicularis",0
"Salix alaxensis",0.266666666666667
"Salix glauca",0.0666666666666667
"Umbilicaria hyperborea",0
