"Species","smooth_005nm_equal05"
"Alectoria ochroleuca",0.2
"Alnus sp.",0.6
"Arctostaphyllos",1
"Asahinea chrysantha",0.6
"Aulacomnium palustre",0.6
"Aulacomnium turgidum",0.4
"Betula nana",0.8
"Bryoria sp.",0
"Carex sp.",0.6
"Cassiope tetragona",0.6
"Ceratadon purpureus",0
"Cetraria islandica",0.6
"Cladonia amaurocraea",0.6
"Cladonia gracilis",1
"Cladonia mitis",0.8
"Cladonia rangiferina",0.4
"Cladonia steallaris",0.6
"Cladonia stygia",0.6
"Cladonia uncialis",0.4
"Dactylina arctica",0.2
"Dicranum sp.",0.2
"Dryas alleghenies",1
"Dryas octopetala",0.6
"Dryas sp.",0
"Empetrum nigrum",0.4
"Eriophorum vaginatum",0
"Evernia mesomorpha",0.4
"Flavocetraria cucculata",0.8
"Flavocetraria nivalis",1
"Heracleum lanatum",0
"Hylocomium splendens",0.2
"Hypogymnia austerodes",0.2
"Icmadophila ericetorum",0
"Ledum decumbens",1
"Lupinus sp.",0.2
"Masonhalea richardsonii",0.4
"Melanelia sp.",0.8
"Nephroma arcticum",0.6
"Parmelis sulcata",0.8
"Pedicularis racemosa",0.6
"Peltigera apthosa",0
"Peltigera scabrata",0.2
"Petasites frigida",0.2
"Picea mariana",0.2
"Pilophorus acicularis",0.4
"Polytrichum juniperinum",0.4
"Polytrichum sp.",0.6
"Porpidia sp.",0.2
"Rhizocarpon geographicum",0.6
"Rhytidum rugosum",0.6
"Rosa acicularis",0.2
"Rubus sp.",0.6
"Salix (wooly)",0.2
"Salix alaxensis",0
"Salix glauca",0.4
"Salix ovalifolia",0.4
"Salix pulchra",0.6
"Sphagnum sp.",0.2
"Stereocaulon sp.",0.4
"Toefeldia sp.",0.2
"Trapelopsis granulosa",0.2
"Umbilicaria hyperborea",0.4
"Unknown",0.2
"Usnea lapponica",0.4
"Usnea scabrata",0.2
"Vaccinium vitis-idea",0.8
"Vulpicida pinastri",0
