"Species","smooth_100nm_equal10"
"Arctostaphyllos",0
"Bryoria sp.",0
"Dryas sp.",0.2
"Empetrum nigrum",0.2
"Eriophorum vaginatum",0
"Hypogymnia austerodes",0.1
"Lupinus sp.",0.1
"Nephroma arcticum",0.1
"Parmelis sulcata",0.1
"Pedicularis racemosa",0.1
"Peltigera apthosa",0.2
"Picea mariana",0
"Pilophorus acicularis",0.2
"Porpidia sp.",0.1
"Rhizocarpon geographicum",0.1
"Rosa acicularis",0
"Salix (wooly)",0.1
"Salix pulchra",0.1
"Umbilicaria hyperborea",0
"Usnea lapponica",0
"Usnea scabrata",0.1
