"Species","smooth_100nm_equal05"
"Alectoria ochroleuca",0.2
"Aulacomnium palustre",0
"Cassiope tetragona",0
"Ceratadon purpureus",0
"Cladonia amaurocraea",0.2
"Cladonia rangiferina",0.2
"Cladonia uncialis",0.2
"Dactylina arctica",0.2
"Dicranum sp.",0
"Dryas sp.",0
"Eriophorum vaginatum",0
"Heracleum lanatum",0
"Hypogymnia austerodes",0.2
"Nephroma arcticum",0.2
"Pedicularis racemosa",0.2
"Peltigera apthosa",0.2
"Peltigera scabrata",0
"Petasites frigida",0.2
"Rosa acicularis",0
"Salix alaxensis",0
"Sphagnum sp.",0
"Trapelopsis granulosa",0.2
"Unknown",0
"Usnea scabrata",0.2
"Vulpicida pinastri",0.2
