"Species","smooth_010nm_equal10"
"Alnus sp.",0.2
"Asahinea chrysantha",0.2
"Bryoria sp.",0.2
"Carex sp.",0.2
"Cetraria islandica",0.1
"Cladonia mitis",0.2
"Cladonia rangiferina",0.1
"Cladonia steallaris",0.2
"Cladonia uncialis",0.2
"Eriophorum vaginatum",0
"Flavocetraria nivalis",0.2
"Lupinus sp.",0.1
"Melanelia sp.",0.1
"Parmelis sulcata",0
"Pedicularis racemosa",0.1
"Picea mariana",0.1
"Polytrichum juniperinum",0.1
"Porpidia sp.",0.1
"Rhizocarpon geographicum",0.2
"Rosa acicularis",0
"Salix (wooly)",0
"Salix glauca",0.2
"Salix pulchra",0.1
"Umbilicaria hyperborea",0
"Usnea lapponica",0
"Usnea scabrata",0
"Vulpicida pinastri",0
