"Species","Smooth_005nm"
"Alnus sp.",0.05
"Betula nana",0.4
"Cladonia rangiferina",0.05
"Cladonia steallaris",0.1
"Dryas alleghenies",0.45
"Dryas octopetala",0.5
"Dryas sp.",0.1
"Evernia mesomorpha",0.1
"Nephroma arcticum",0.1
"Rosa acicularis",0
"Salix alaxensis",0.1
"Vaccinium vitis-idea",0.15
