"Species","smooth_allbands_equal20"
"Alnus sp.",0.15
"Betula nana",0.1
"Cladonia rangiferina",0.1
"Cladonia steallaris",0.05
"Dryas alleghenies",0.5
"Dryas octopetala",0.4
"Dryas sp.",0.3
"Evernia mesomorpha",0.15
"Nephroma arcticum",0.05
"Rosa acicularis",0
"Salix alaxensis",0.15
"Vaccinium vitis-idea",0.1
