"Species","Smooth_010nm"
"Alnus sp.",0.2
"Arctostaphyllos",0.3
"Asahinea chrysantha",0.2
"Betula nana",0.5
"Bryoria sp.",0.2
"Carex sp.",0.3
"Cetraria islandica",0.1
"Cladonia gracilis",0.3
"Cladonia mitis",0.2
"Cladonia rangiferina",0.1
"Cladonia steallaris",0.2
"Cladonia stygia",0.6
"Cladonia uncialis",0.2
"Dryas alleghenies",0.8
"Dryas octopetala",0.8
"Dryas sp.",0.3
"Empetrum nigrum",0.3
"Eriophorum vaginatum",0
"Evernia mesomorpha",0.4
"Flavocetraria cucculata",0.3
"Flavocetraria nivalis",0.2
"Hylocomium splendens",0.3
"Hypogymnia austerodes",0.4
"Ledum decumbens",0.6
"Lupinus sp.",0.1
"Masonhalea richardsonii",0.4
"Melanelia sp.",0.1
"Nephroma arcticum",0.6
"Parmelis sulcata",0
"Pedicularis racemosa",0.1
"Peltigera apthosa",0.3
"Picea mariana",0.1
"Pilophorus acicularis",0.4
"Polytrichum juniperinum",0.1
"Polytrichum sp.",0.4
"Porpidia sp.",0.1
"Rhizocarpon geographicum",0.1
"Rosa acicularis",0
"Rubus sp.",0.4
"Salix (wooly)",0
"Salix alaxensis",0.5
"Salix glauca",0.2
"Salix pulchra",0.1
"Umbilicaria hyperborea",0
"Usnea lapponica",0
"Usnea scabrata",0
"Vaccinium vitis-idea",0.5
"Vulpicida pinastri",0
