"Species","smooth_010nm_equal05"
"Alectoria ochroleuca",0
"Aulacomnium palustre",0.2
"Aulacomnium turgidum",0.2
"Bryoria sp.",0
"Ceratadon purpureus",0
"Empetrum nigrum",0.2
"Eriophorum vaginatum",0
"Heracleum lanatum",0
"Icmadophila ericetorum",0.2
"Lupinus sp.",0.2
"Peltigera scabrata",0
"Petasites frigida",0.2
"Pilophorus acicularis",0
"Porpidia sp.",0.2
"Rosa acicularis",0.2
"Rubus sp.",0.2
"Salix (wooly)",0.2
"Salix ovalifolia",0
"Toefeldia sp.",0.2
"Trapelopsis granulosa",0.2
"Unknown",0.2
"Usnea lapponica",0
"Usnea scabrata",0.2
"Vulpicida pinastri",0.2
