"Species","smooth_allbands_equal20"
"Alnus sp.",0.15
"Betula nana",0.1
"Cladonia rangiferina",0.1
"Cladonia steallaris",0.05
"Evernia mesomorpha",0.15
"Nephroma arcticum",0.05
"Rosa acicularis",0
"Salix alaxensis",0.15
"Vaccinium vitis-idea",0.1
