"Species","smooth_005nm_equal10"
"Arctostaphyllos",0.2
"Bryoria sp.",0.2
"Cetraria islandica",0.2
"Cladonia steallaris",0.2
"Cladonia stygia",0.2
"Empetrum nigrum",0.2
"Eriophorum vaginatum",0.1
"Hypogymnia austerodes",0.2
"Lupinus sp.",0.1
"Masonhalea richardsonii",0.2
"Melanelia sp.",0.1
"Parmelis sulcata",0.1
"Pedicularis racemosa",0.1
"Peltigera apthosa",0.1
"Pilophorus acicularis",0.2
"Polytrichum juniperinum",0
"Polytrichum sp.",0.1
"Porpidia sp.",0
"Rhizocarpon geographicum",0.2
"Rosa acicularis",0
"Rubus sp.",0.2
"Salix (wooly)",0.2
"Salix alaxensis",0.2
"Salix pulchra",0.2
"Usnea lapponica",0.1
"Usnea scabrata",0.2
