"Species","smooth_100nm_equal05"
"Alectoria ochroleuca",0.2
"Alnus sp.",0.6
"Arctostaphyllos",0.4
"Asahinea chrysantha",0.6
"Aulacomnium palustre",0
"Aulacomnium turgidum",0.6
"Betula nana",1
"Bryoria sp.",0.4
"Carex sp.",0.6
"Cassiope tetragona",0
"Ceratadon purpureus",0
"Cetraria islandica",0.6
"Cladonia amaurocraea",0.2
"Cladonia gracilis",0.4
"Cladonia mitis",1
"Cladonia rangiferina",0.2
"Cladonia steallaris",0.4
"Cladonia stygia",0.6
"Cladonia uncialis",0.2
"Dactylina arctica",0.2
"Dicranum sp.",0
"Dryas alleghenies",1
"Dryas octopetala",0.4
"Dryas sp.",0
"Empetrum nigrum",0.6
"Eriophorum vaginatum",0
"Evernia mesomorpha",0.6
"Flavocetraria cucculata",1
"Flavocetraria nivalis",0.6
"Heracleum lanatum",0
"Hylocomium splendens",0.8
"Hypogymnia austerodes",0.2
"Icmadophila ericetorum",0.6
"Ledum decumbens",1
"Lupinus sp.",0.4
"Masonhalea richardsonii",0.8
"Melanelia sp.",0.4
"Nephroma arcticum",0.2
"Parmelis sulcata",0.4
"Pedicularis racemosa",0.2
"Peltigera apthosa",0.2
"Peltigera scabrata",0
"Petasites frigida",0.2
"Picea mariana",0.4
"Pilophorus acicularis",0.6
"Polytrichum juniperinum",0.4
"Polytrichum sp.",0.4
"Porpidia sp.",0.4
"Rhizocarpon geographicum",0.4
"Rhytidum rugosum",0.4
"Rosa acicularis",0
"Rubus sp.",0.4
"Salix (wooly)",0.4
"Salix alaxensis",0
"Salix glauca",0.6
"Salix ovalifolia",0.4
"Salix pulchra",0.4
"Sphagnum sp.",0
"Stereocaulon sp.",0.4
"Toefeldia sp.",0.4
"Trapelopsis granulosa",0.2
"Umbilicaria hyperborea",1
"Unknown",0
"Usnea lapponica",0.8
"Usnea scabrata",0.2
"Vaccinium vitis-idea",0.8
"Vulpicida pinastri",0.2
