"Species","smooth_100nm_equal10"
"Alnus sp.",0.5
"Arctostaphyllos",0
"Asahinea chrysantha",0.4
"Betula nana",0.8
"Bryoria sp.",0
"Carex sp.",0.4
"Cetraria islandica",0.4
"Cladonia gracilis",0.5
"Cladonia mitis",0.4
"Cladonia rangiferina",0.3
"Cladonia steallaris",0.6
"Cladonia stygia",0.3
"Cladonia uncialis",0.3
"Dryas alleghenies",1
"Dryas octopetala",0.6
"Dryas sp.",0.2
"Empetrum nigrum",0.2
"Eriophorum vaginatum",0
"Evernia mesomorpha",0.6
"Flavocetraria cucculata",0.5
"Flavocetraria nivalis",0.4
"Hylocomium splendens",0.3
"Hypogymnia austerodes",0.1
"Ledum decumbens",0.7
"Lupinus sp.",0.1
"Masonhalea richardsonii",0.3
"Melanelia sp.",0.3
"Nephroma arcticum",0.1
"Parmelis sulcata",0.1
"Pedicularis racemosa",0.1
"Peltigera apthosa",0.2
"Picea mariana",0
"Pilophorus acicularis",0.2
"Polytrichum juniperinum",0.3
"Polytrichum sp.",0.4
"Porpidia sp.",0.1
"Rhizocarpon geographicum",0.1
"Rosa acicularis",0
"Rubus sp.",0.3
"Salix (wooly)",0.1
"Salix alaxensis",0.3
"Salix glauca",0.5
"Salix pulchra",0.1
"Umbilicaria hyperborea",0
"Usnea lapponica",0
"Usnea scabrata",0.1
"Vaccinium vitis-idea",0.8
"Vulpicida pinastri",0.3
