"Species","smooth_100nm_more10"
"Bryoria sp.",0.2
"Carex sp.",0.25
"Dryas alleghenies",0.143382352941177
"Dryas octopetala",0.0506535947712419
"Eriophorum vaginatum",0.1
"Lupinus sp.",0.166666666666667
"Picea mariana",0.0588235294117647
"Pilophorus acicularis",0.2
"Porpidia sp.",0.181818181818182
"Rhizocarpon geographicum",0.111111111111111
"Rosa acicularis",0.222222222222222
"Salix (wooly)",0.2
"Salix alaxensis",0.106382978723404
"Umbilicaria hyperborea",0.2
"Usnea scabrata",0.166666666666667
"Vulpicida pinastri",0.166666666666667
